Region,Comuna,Poblacion,2020-03-30,2020-04-01,2020-04-03,2020-04-06,2020-04-08,Tasa
Maule,Romeral,16170,-,-,-,-,-,12.4
Maule,Sagrada Familia,19469,-,-,-,-,-,5.1
Maule,San Clemente,46292,-,-,-,-,-,0.0
Maule,San Javier,49451,-,-,-,7,7,14.2
Maule,San Rafael,9959,-,-,-,-,-,10.0
Maule,Talca,236724,34,37,42,48,51,21.5
Maule,Teno,30850,-,-,-,-,-,0.0
Maule,Vichuquen,4381,-,-,-,-,-,0.0
Maule,Villa Alegre,17512,-,-,-,-,-,0.0
Maule,Yerbas Buenas,19200,-,-,-,-,-,0.0
Nuble,Bulnes,22607,12,18,32,36,45,199.1
Nuble,Chillan,198624,114,173,240,291,327,164.6
Nuble,Chillan Viejo,33827,13,22,26,30,34,100.5
Nuble,Cobquecura,5275,-,-,-,-,-,0.0
Nuble,Coelemu,16845,-,-,-,-,4,23.7
Nuble,Coihueco,28375,-,-,-,6,7,24.7
Nuble,El Carmen,12334,-,-,-,-,-,24.3
Nuble,Ninhue,5414,-,-,-,-,-,18.5
Nuble,Niquen,11567,-,-,-,-,-,17.3
Nuble,Pemuco,8639,-,-,-,-,-,34.7
Nuble,Pinto,11880,-,-,6,9,10,84.2
Nuble,Portezuelo,4940,-,-,-,-,-,0.0
Nuble,Quillon,18777,4,7,15,17,22,117.2
Nuble,Quirihue,12192,-,-,-,-,4,32.8
Nuble,Ranquil,6261,-,-,5,7,9,143.7
Nuble,San Carlos,56252,8,13,13,19,28,49.8
Nuble,San Fabian,4654,-,5,6,6,6,128.9
Nuble,San Ignacio,16624,-,-,-,6,6,36.1
Nuble,San Nicolas,12172,-,-,4,10,11,90.4
Nuble,Treguaco,5696,-,-,-,-,-,0.0
Nuble,Yungay,18596,-,7,10,26,37,199.0
Biobio,Alto Biobio,6775,-,-,-,-,-,0.0
Biobio,Antuco,4306,-,-,-,-,-,0.0
Biobio,Arauco,38679,-,5,6,6,6,15.5
Biobio,Cabrero,30725,-,-,-,-,-,3.3
Biobio,Canete,37003,-,-,-,-,-,0.0
Biobio,Chiguayante,91180,6,18,26,32,35,38.4
Biobio,Concepcion,238092,28,47,53,70,73,30.7
Biobio,Contulmo,6330,-,-,-,-,-,0.0
Biobio,Coronel,125829,-,11,12,13,18,14.3
Biobio,Curanilahue,33892,-,-,-,-,-,3.0
Biobio,Florida,11841,-,-,-,-,-,16.9
Biobio,Hualpen,97273,-,39,50,67,74,76.1
Biobio,Hualqui,26201,-,-,-,7,7,26.7
Biobio,Laja,23873,-,-,-,5,5,20.9
Biobio,Lebu,27100,-,-,-,-,-,0.0
Biobio,Los Alamos,22524,-,-,-,-,-,0.0
Biobio,Los Angeles,218515,11,15,12,17,22,10.1
Biobio,Lota,45750,-,-,-,-,-,2.2
Biobio,Mulchen,31041,-,5,5,5,5,16.1
Biobio,Nacimiento,27944,-,-,-,-,4,14.3
Biobio,Negrete,10429,-,-,-,-,-,19.2
Biobio,Penco,49865,-,-,-,5,5,10.0
Biobio,Quilaco,4179,-,-,-,-,-,0.0
