Region,Codigo region,Comuna,Codigo comuna,Poblacion,2020-03-30,2020-04-01,2020-04-03,2020-04-06,2020-04-08,2020-04-10,2020-04-13,2020-04-15,Tasa
Metropolitana,13,Quilicura,13125,254694,17,29,33,51,57,79,94,101,39.7
Metropolitana,13,Quinta Normal,13126,136368,21,25,35,41,57,69,84,105,77.0
Metropolitana,13,Recoleta,13127,190075,17,23,32,44,52,61,73,81,42.6
Metropolitana,13,Renca,13128,160847,9,14,18,19,22,28,42,50,31.1
Metropolitana,13,San Bernardo,13401,334836,32,41,53,74,79,117,140,156,46.6
Metropolitana,13,San Joaquin,13129,103485,13,24,28,36,42,52,58,68,65.7
Metropolitana,13,San Jose de Maipo,13203,18644,-,-,-,-,-,4,4,4,21.5
Metropolitana,13,San Miguel,13130,133059,25,32,39,49,56,69,86,97,72.9
Metropolitana,13,San Pedro,13505,11953,-,-,-,-,-,-,-,-,0.0
Metropolitana,13,San Ramon,13131,86510,-,6,9,9,12,18,20,27,31.2
Metropolitana,13,Santiago,13101,503147,127,156,173,234,271,321,375,404,80.3
Metropolitana,13,Talagante,13601,81838,-,5,6,11,14,18,21,24,29.3
Metropolitana,13,Tiltil,13303,21477,-,-,-,-,4,4,4,4,18.6
Metropolitana,13,Vitacura,13132,96774,83,90,100,114,114,119,127,128,132.3
Metropolitana,13,Total,,8125072,1197,1521,1742,2244,2548,3,3803,4334,53.3
,,,,,,,,,,,,,
Del Libertador General Bernardo O’Higgins,06,Chepica,06302,15925,-,-,-,-,-,-,-,-,0.0
Del Libertador General Bernardo O’Higgins,06,Chimbarongo,06303,37696,-,-,-,-,-,-,2,4,10.6
Del Libertador General Bernardo O’Higgins,06,Codegua,06102,14096,-,-,-,-,-,-,-,-,0.0
Del Libertador General Bernardo O’Higgins,06,Coinco,06103,7831,-,-,-,-,-,-,-,-,0.0
Del Libertador General Bernardo O’Higgins,06,Coltauco,06104,21263,-,-,-,-,-,-,-,-,0.0
Del Libertador General Bernardo O’Higgins,06,Donihue,06105,22700,-,-,-,-,-,-,-,-,0.0
Del Libertador General Bernardo O’Higgins,06,Graneros,06106,36504,-,-,-,-,-,-,-,-,0.0
Del Libertador General Bernardo O’Higgins,06,La Estrella,06202,3114,-,-,-,-,-,-,-,-,0.0
Del Libertador General Bernardo O’Higgins,06,Las Cabras,06107,26749,-,-,-,-,-,-,-,1,3.7
Del Libertador General Bernardo O’Higgins,06,Litueche,06203,6765,-,-,-,-,-,-,-,-,0.0
Del Libertador General Bernardo O’Higgins,06,Lolol,06304,7289,-,-,-,-,-,-,-,-,0.0
Del Libertador General Bernardo O’Higgins,06,Machali,06108,59913,-,6,7,8,8,8,8,8,13.4
Del Libertador General Bernardo O’Higgins,06,Malloa,06109,14163,-,-,-,-,-,-,-,-,0.0
Del Libertador General Bernardo O’Higgins,06,Marchihue,06204,7632,-,-,-,-,-,-,-,-,0.0
Del Libertador General Bernardo O’Higgins,06,Mostazal,06110,27462,-,-,-,-,-,-,-,-,0.0
Del Libertador General Bernardo O’Higgins,06,Nancagua,06305,19141,-,-,-,-,-,-,-,-,0.0
Del Libertador General Bernardo O’Higgins,06,Navidad,06205,6904,-,-,-,-,-,-,-,-,0.0
Del Libertador General Bernardo O’Higgins,06,Olivar,06111,14624,-,-,-,-,-,-,6,7,47.9
Del Libertador General Bernardo O’Higgins,06,Palmilla,06306,13299,-,-,-,-,-,-,-,-,0.0
Del Libertador General Bernardo O’Higgins,06,Paredones,06206,6349,-,-,-,-,-,-,-,-,0.0
Del Libertador General Bernardo O’Higgins,06,Peralillo,06307,11848,-,-,-,-,-,-,-,-,0.0
Del Libertador General Bernardo O’Higgins,06,Peumo,06112,14952,-,-,-,-,-,-,1,1,6.7
Del Libertador General Bernardo O’Higgins,06,Pichidegua,06113,20743,-,-,-,-,-,-,-,-,0.0
Del Libertador General Bernardo O’Higgins,06,Pichilemu,06201,17882,-,-,-,-,-,-,-,-,0.0
Del Libertador General Bernardo O’Higgins,06,Placilla,06308,9164,-,-,-,-,-,-,1,2,21.8
Del Libertador General Bernardo O’Higgins,06,Pumanque,06309,3531,-,-,-,-,-,-,-,-,0.0
Del Libertador General Bernardo O’Higgins,06,Quinta de Tilcoco,06114,13877,-,-,-,-,-,-,3,3,21.6
Del Libertador General Bernardo O’Higgins,06,Rancagua,06101,265211,7,7,9,15,15,15,15,15,5.7
Del Libertador General Bernardo O’Higgins,06,Rengo,06115,63710,-,-,-,-,-,-,1,1,1.6
