Region,Codigo region,Comuna,Codigo comuna,Superficie_km2
La Araucanía,9,Pitrufquén,9114,580.7
La Araucanía,9,Pucón,9115,1248.5
La Araucanía,9,Saavedra,9116,400.8
La Araucanía,9,Teodoro Schmidt,9117,649.9
La Araucanía,9,Toltén,9118,860.4
La Araucanía,9,Vilcún,9119,1420.9
La Araucanía,9,Villarrica,9120,1291.1
La Araucanía,9,Cholchol,9121,427.9
La Araucanía,9,Angol,9201,1194.4
La Araucanía,9,Collipulli,9202,1295.9
La Araucanía,9,Curacautín,9203,1664
La Araucanía,9,Ercilla,9204,499.7
La Araucanía,9,Lonquimay,9205,3914.2
La Araucanía,9,Los Sauces,9206,849.8
La Araucanía,9,Lumaco,9207,1119
La Araucanía,9,Purén,9208,464.9
La Araucanía,9,Renaico,9209,267.4
La Araucanía,9,Traiguén,9210,908
La Araucanía,9,Victoria,9211,1256
Los Ríos,14,Valdivia,14101,1016
Los Ríos,14,Corral,14102,767
Los Ríos,14,Lanco,14103,532.4
Los Ríos,14,Los Lagos,14104,1791.2
Los Ríos,14,Máfil,14105,583
Los Ríos,14,Mariquina,14106,1320.5
Los Ríos,14,Paillaco,14107,896
Los Ríos,14,Panguipulli,14108,3292
Los Ríos,14,La Unión,14201,2137
Los Ríos,14,Futrono,14202,2267.5
Los Ríos,14,Lago Ranco,14203,1763.3
Los Ríos,14,Río Bueno,14204,2211.7
Los Lagos,10,Puerto Montt,10101,1673
Los Lagos,10,Calbuco,10102,590.8
Los Lagos,10,Cochamó,10103,3910.8
Los Lagos,10,Fresia,10104,1278.1
Los Lagos,10,Frutillar,10105,831.4
Los Lagos,10,Los Muermos,10106,1245.8
Los Lagos,10,Llanquihue,10107,420.8
Los Lagos,10,Maullín,10108,860.8
Los Lagos,10,Puerto Varas,10109,4064.9
Los Lagos,10,Castro,10201,472.5
Los Lagos,10,Ancud,10202,1752.4
Los Lagos,10,Chonchi,10203,1362.1
Los Lagos,10,Curaco de Vélez,10204,80
Los Lagos,10,Dalcahue,10205,1239.4
Los Lagos,10,Puqueldón,10206,97.3
Los Lagos,10,Queilén,10207,332.9
Los Lagos,10,Quellón,10208,3244
Los Lagos,10,Quemchi,10209,440.3
Los Lagos,10,Quinchao,10210,160.7
Los Lagos,10,Osorno,10301,951
Los Lagos,10,Puerto Octay,10302,1795.7
Los Lagos,10,Purranque,10303,1458.8
Los Lagos,10,Puyehue,10304,1597.9
Los Lagos,10,Río Negro,10305,1265.7
Los Lagos,10,San Juan de la Costa,10306,1517
Los Lagos,10,San Pablo,10307,637.3
Los Lagos,10,Chaitén,10401,8470.5
Los Lagos,10,Futaleufú,10402,1280
Los Lagos,10,Hualaihué,10403,2787.7
Los Lagos,10,Palena,10404,2763.7
Aysén del General Carlos Ibáñez del Campo,11,Coihaique,11101,7290.2
Aysén del General Carlos Ibáñez del Campo,11,Lago Verde,11102,5422.3
Aysén del General Carlos Ibáñez del Campo,11,Cisnes,11202,16093
Aysén del General Carlos Ibáñez del Campo,11,Guaitecas,11203,620.6
Aysén del General Carlos Ibáñez del Campo,11,Cochrane,11301,8.599.5
Aysén del General Carlos Ibáñez del Campo,11,O'Higgins,11302,8182.5
Aysén del General Carlos Ibáñez del Campo,11,Tortel,11303,19710.6
Aysén del General Carlos Ibáñez del Campo,11,Chile Chico,11401,5737.1
Aysén del General Carlos Ibáñez del Campo,11,Río Ibáñez,11402,5997.2
Magallanes y de la Antártica Chilena,12,Punta Arenas,12101,17846.3
Magallanes y de la Antártica Chilena,12,Laguna Blanca,12102,3695.6
Magallanes y de la Antártica Chilena,12,Río Verde,12103,17248
Magallanes y de la Antártica Chilena,12,San Gregorio,12104,6883.7
Magallanes y de la Antártica Chilena,12,Cabo de Hornos,12201,15578.7
Magallanes y de la Antártica Chilena,12,Antártica,12202,1250257.6
Magallanes y de la Antártica Chilena,12,Porvenir,12301,9707.4
Magallanes y de la Antártica Chilena,12,Primavera,12302,4253.4
Magallanes y de la Antártica Chilena,12,Timaukel,12303,10758.9
Magallanes y de la Antártica Chilena,12,Natales,12401,49924.1
Magallanes y de la Antártica Chilena,12,Torres del Paine,12402,6630
Metropolitana de Santiago,13,Santiago,13101,23.2
Metropolitana de Santiago,13,Cerrillos,13102,21
Metropolitana de Santiago,13,Cerro Navia,13103,11
Metropolitana de Santiago,13,Conchalí,13104,10.7
Metropolitana de Santiago,13,El Bosque,13105,14.2
Metropolitana de Santiago,13,Estación Central,13106,15
Metropolitana de Santiago,13,Huechuraba,13107,44.8
Metropolitana de Santiago,13,Independencia,13108,7
Metropolitana de Santiago,13,La Cisterna,13109,10
Metropolitana de Santiago,13,La Florida,13110,70.2
Metropolitana de Santiago,13,La Granja,13111,10
Metropolitana de Santiago,13,La Pintana,13112,30.6
Metropolitana de Santiago,13,La Reina,13113,23
Metropolitana de Santiago,13,Las Condes,13114,99
Metropolitana de Santiago,13,Lo Barnechea,13115,1024
Metropolitana de Santiago,13,Lo Espejo,13116,7
Metropolitana de Santiago,13,Lo Prado,13117,7
Metropolitana de Santiago,13,Macul,13118,12.9
Metropolitana de Santiago,13,Maipú,13119,135.5
Metropolitana de Santiago,13,Ñuñoa,13120,16.9
Metropolitana de Santiago,13,Pedro Aguirre Cerda,13121,10
Metropolitana de Santiago,13,Peñalolén,13122,54
Metropolitana de Santiago,13,Providencia,13123,14.3
Metropolitana de Santiago,13,Pudahuel,13124,197
Metropolitana de Santiago,13,Quilicura,13125,58
Metropolitana de Santiago,13,Quinta Normal,13126,13
Metropolitana de Santiago,13,Recoleta,13127,16
Metropolitana de Santiago,13,Renca,13128,24
Metropolitana de Santiago,13,San Joaquín,13129,9.7
Metropolitana de Santiago,13,San Miguel,13130,10.0
Metropolitana de Santiago,13,San Ramón,13131,7
Metropolitana de Santiago,13,Vitacura,13132,28.3
Metropolitana de Santiago,13,Puente Alto,13201,88
Metropolitana de Santiago,13,Pirque,13202,445.3
Metropolitana de Santiago,13,San José de Maipo,13203,4994.8
Metropolitana de Santiago,13,Colina,13301,971.2
Metropolitana de Santiago,13,Lampa,13302,452
Metropolitana de Santiago,13,Tiltil,13303,653
Metropolitana de Santiago,13,San Bernardo,13401,155
Metropolitana de Santiago,13,Buin,13402,214
Metropolitana de Santiago,13,Calera de Tango,13403,73.3
Metropolitana de Santiago,13,Paine,13404,820
Metropolitana de Santiago,13,Melipilla,13501,1345
Metropolitana de Santiago,13,Alhué,13502,845
Metropolitana de Santiago,13,Curacaví,13503,693
Metropolitana de Santiago,13,María Pinto,13504,393.5
Metropolitana de Santiago,13,San Pedro,13505,788
Metropolitana de Santiago,13,Talagante,13601,126
Metropolitana de Santiago,13,El Monte,13602,118
Metropolitana de Santiago,13,Isla de Maipo,13603,189
Metropolitana de Santiago,13,Padre Hurtado,13604,80.8
Metropolitana de Santiago,13,Peñaflor,13605,69
