Region,Nuevos Casos,Casos Confirmados,Fallecidos,Fecha,Casostotalesacumulados,Casosnuevostotales,Casosnuevosconsintomas,Casosnuevossinsintomas*,%Total,Casosnuevossinsintomas,Tasa*100000,Incrementodiario,Region ID,Poblacion,Tasa
Tarapacá,,,2,2020/05/16,845.0,66.0,51.0,15.0,2.04%,,,,1,382773,
Antofagasta,,,12,2020/05/16,1429.0,98.0,71.0,27.0,3.45%,,,,2,691854,
Atacama,,,0,2020/05/16,146.0,3.0,3.0,0.0,0.35%,,,,3,314709,
Coquimbo,,,2,2020/05/16,187.0,7.0,0.0,7.0,0.45%,,,,4,836096,
Valparaíso,,,28,2020/05/16,1365.0,53.0,33.0,20.0,3.29%,,,,5,1960170,
Metropolitana,,,246,2020/05/16,30794.0,1518.0,1319.0,199.0,74.33%,,,,13,8125072,
O’Higgins,,,5,2020/05/16,329.0,6.0,6.0,0.0,0.79%,,,,6,991063,
Maule,,,14,2020/05/16,551.0,11.0,9.0,2.0,1.33%,,,,7,1131939,
Ñuble,,,20,2020/05/16,921.0,36.0,14.0,22.0,2.22%,,,,16,511551,
Biobío,,,9,2020/05/16,1074.0,38.0,29.0,9.0,2.59%,,,,8,1663696,
Araucanía,,,43,2020/05/16,1587.0,23.0,16.0,7.0,3.83%,,,,9,1014343,
Los Ríos,,,6,2020/05/16,219.0,0.0,0.0,0.0,0.53%,,,,14,405835,
Los Lagos,,,11,2020/05/16,644.0,3.0,3.0,0.0,1.55%,,,,10,891440,
Aysén,,,0,2020/05/16,8.0,0.0,0.0,0.0,0.02%,,,,11,107297,
Magallanes,,,16,2020/05/16,952.0,15.0,12.0,3.0,2.30%,,,,12,178362,
Arica y Parinacota,5.0,129.0,1,2020/04/16,,,,,,,,,15,252110,51.16814089088096
Tarapacá,4.0,66.0,0,2020/04/16,,,,,,,,,1,382773,17.242595480872478
Antofagasta,16.0,192.0,1,2020/04/16,,,,,,,,,2,691854,27.751519829328153
Atacama,0.0,13.0,0,2020/04/16,,,,,,,,,3,314709,4.130800199549425
Coquimbo,2.0,68.0,0,2020/04/16,,,,,,,,,4,836096,8.133037354562155
Valparaíso,31.0,330.0,4,2020/04/16,,,,,,,,,5,1960170,16.835274491498186
Metropolitana,348.0,4682.0,48,2020/04/16,,,,,,,,,13,8125072,57.624104746394856
O’Higgins,0.0,54.0,0,2020/04/16,,,,,,,,,6,991063,5.44869498709971
Maule,15.0,167.0,4,2020/04/16,,,,,,,,,7,1131939,14.753445194484863
Ñuble,5.0,639.0,10,2020/04/16,,,,,,,,,16,511551,124.91423142560566
Biobío,17.0,559.0,2,2020/04/16,,,,,,,,,8,1663696,33.59988844115752
Araucanía,56.0,882.0,21,2020/04/16,,,,,,,,,9,1014343,86.95283548070032
Los Ríos,3.0,153.0,3,2020/04/16,,,,,,,,,14,405835,37.70005051313957
Los Lagos,9.0,399.0,5,2020/04/16,,,,,,,,,10,891440,44.759041550749345
Aysén,0.0,7.0,0,2020/04/16,,,,,,,,,11,107297,6.523947547461719
Magallanes,23.0,467.0,6,2020/04/16,,,,,,,,,12,178362,261.8270707886209
Arica y Parinacota,12.0,87.0,0,2020/04/10,,,,,,,,,15,252110,34.50874618222204
Tarapacá,6.0,35.0,0,2020/04/10,,,,,,,,,1,382773,9.14380063379601
Antofagasta,18.0,110.0,1,2020/04/10,,,,,,,,,2,691854,15.899308235552587
Atacama,3.0,13.0,0,2020/04/10,,,,,,,,,3,314709,4.130800199549425
Coquimbo,0.0,61.0,0,2020/04/10,,,,,,,,,4,836096,7.295812921004287
Valparaíso,11.0,241.0,2,2020/04/10,,,,,,,,,5,1960170,12.294851977124432
Metropolitana,361.0,3193.0,29,2020/04/10,,,,,,,,,13,8125072,39.298113296719094
O’Higgins,0.0,44.0,0,2020/04/10,,,,,,,,,6,991063,4.439677396896061
Maule,3.0,131.0,2,2020/04/10,,,,,,,,,7,1131939,11.573061799266569
Ñuble,18.0,589.0,6,2020/04/10,,,,,,,,,16,511551,115.14003491342994
Biobío,14.0,474.0,2,2020/04/10,,,,,,,,,8,1663696,28.49078196978294
Araucanía,23.0,712.0,16,2020/04/10,,,,,,,,,9,1014343,70.19321866469232
Los Ríos,6.0,124.0,2,2020/04/10,,,,,,,,,14,405835,30.554289304766712
Los Lagos,9.0,349.0,2,2020/04/10,,,,,,,,,10,891440,39.15013910078076
Aysén,0.0,7.0,0,2020/04/10,,,,,,,,,11,107297,6.523947547461719
Magallanes,45.0,331.0,3,2020/04/10,,,,,,,,,12,178362,185.57764546259853
Arica y Parinacota,1.0,3.0,0,2020/03/26,,,,,,,,,15,252110,1.1899567649042084
Tarapacá,1.0,5.0,0,2020/03/26,,,,,,,,,1,382773,1.30625723339943
Antofagasta,1.0,20.0,0,2020/03/26,,,,,,,,,2,691854,2.8907833155550158
Atacama,0.0,1.0,0,2020/03/26,,,,,,,,,3,314709,0.3177538615038019
Coquimbo,1.0,13.0,0,2020/03/26,,,,,,,,,4,836096,1.554845376607471
Valparaíso,12.0,44.0,0,2020/03/26,,,,,,,,,5,1960170,2.2447032655330914
Metropolitana,64.0,746.0,3,2020/03/26,,,,,,,,,13,8125072,9.18145709970324
O’Higgins,3.0,14.0,0,2020/03/26,,,,,,,,,6,991063,1.41262462628511
Maule,1.0,31.0,0,2020/03/26,,,,,,,,,7,1131939,2.7386634792157527
Ñuble,3.0,114.0,0,2020/03/26,,,,,,,,,16,511551,22.285168047760635
Biobío,14.0,109.0,1,2020/03/26,,,,,,,,,8,1663696,6.55167771035093
Araucanía,37.0,111.0,0,2020/03/26,,,,,,,,,9,1014343,10.943043921040516
Los Ríos,3.0,14.0,0,2020/03/26,,,,,,,,,14,405835,3.449677824731726
Los Lagos,16.0,60.0,0,2020/03/26,,,,,,,,,10,891440,6.730682939962309
Aysén,1.0,2.0,0,2020/03/26,,,,,,,,,11,107297,1.863985013560491
Magallanes,6.0,19.0,0,2020/03/26,,,,,,,,,12,178362,10.652493244076652
Arica y Parinacota,,,6,2020/05/10,340.0,3.0,2.0,1.0,1.18%,,,,15,252110,
Tarapacá,,,1,2020/05/10,520.0,35.0,28.0,7.0,1.80%,,,,1,382773,
Antofagasta,,,10,2020/05/10,978.0,31.0,27.0,4.0,3.39%,,,,2,691854,
Atacama,,,0,2020/05/10,124.0,7.0,7.0,0.0,0.43%,,,,3,314709,
Coquimbo,,,1,2020/05/10,135.0,6.0,0.0,6.0,0.47%,,,,4,836096,
Valparaíso,,,20,2020/05/10,933.0,55.0,42.0,13.0,3.23%,,,,5,1960170,
Metropolitana,,,166,2020/05/10,20353.0,1396.0,1225.0,171.0,70.51%,,,,13,8125072,
O’Higgins,,,3,2020/05/10,195.0,13.0,8.0,5.0,0.68%,,,,6,991063,
Maule,,,14,2020/05/10,441.0,9.0,8.0,1.0,1.53%,,,,7,1131939,
Ñuble,,,18,2020/05/10,812.0,11.0,8.0,3.0,2.81%,,,,16,511551,
Biobío,,,8,2020/05/10,899.0,17.0,10.0,7.0,3.11%,,,,8,1663696,
Araucanía,,,37,2020/05/10,1454.0,36.0,22.0,14.0,5.04%,,,,9,1014343,
Los Ríos,,,5,2020/05/10,206.0,0.0,0.0,0.0,0.71%,,,,14,405835,
Los Lagos,,,10,2020/05/10,575.0,16.0,10.0,6.0,1.99%,,,,10,891440,
Aysén,,,0,2020/05/10,8.0,0.0,0.0,0.0,0.03%,,,,11,107297,
Magallanes,,,13,2020/05/10,893.0,12.0,9.0,3.0,3.09%,,,,12,178362,
Arica y Parinacota,,,6,2020/05/09,337.0,10.0,8.0,2.0,1.24%,,,,15,252110,
Tarapacá,,,1,2020/05/09,485.0,26.0,25.0,1.0,1.78%,,,,1,382773,
Antofagasta,,,10,2020/05/09,947.0,24.0,19.0,5.0,3.48%,,,,2,691854,
Atacama,,,0,2020/05/09,117.0,29.0,20.0,9.0,0.43%,,,,3,314709,
Coquimbo,,,0,2020/05/09,129.0,18.0,12.0,6.0,0.47%,,,,4,836096,
Valparaíso,,,19,2020/05/09,878.0,50.0,43.0,7.0,3.23%,,,,5,1960170,
Metropolitana,,,163,2020/05/09,18957.0,978.0,789.0,189.0,69.65%,,,,13,8125072,
O’Higgins,,,3,2020/05/09,182.0,15.0,13.0,2.0,0.67%,,,,6,991063,
Maule,,,14,2020/05/09,432.0,7.0,6.0,1.0,1.59%,,,,7,1131939,
Ñuble,,,18,2020/05/09,801.0,7.0,5.0,2.0,2.94%,,,,16,511551,
Biobío,,,8,2020/05/09,882.0,40.0,31.0,9.0,3.24%,,,,8,1663696,
Araucanía,,,36,2020/05/09,1418.0,15.0,15.0,0.0,5.21%,,,,9,1014343,
Los Ríos,,,5,2020/05/09,206.0,3.0,1.0,2.0,0.76%,,,,14,405835,
Los Lagos,,,10,2020/05/09,559.0,11.0,7.0,4.0,2.05%,,,,10,891440,
Aysén,,,0,2020/05/09,8.0,0.0,0.0,0.0,0.03%,,,,11,107297,
Magallanes,,,11,2020/05/09,881.0,14.0,10.0,4.0,3.24%,,,,12,178362,
Arica y Parinacota,1.0,7.0,0,2020/04/02,,,,,,,,,15,252110,2.7765657847764866
Tarapacá,2.0,12.0,0,2020/04/02,,,,,,,,,1,382773,3.1350173601586317
Antofagasta,8.0,47.0,0,2020/04/02,,,,,,,,,2,691854,6.793340791554287
Atacama,0.0,3.0,0,2020/04/02,,,,,,,,,3,314709,0.9532615845114057
Coquimbo,4.0,34.0,0,2020/04/02,,,,,,,,,4,836096,4.066518677281078
Valparaíso,20.0,156.0,1,2020/04/02,,,,,,,,,5,1960170,7.958493395980962
Metropolitana,115.0,1636.0,6,2020/04/02,,,,,,,,,13,8125072,20.135206186480563
O’Higgins,6.0,32.0,0,2020/04/02,,,,,,,,,6,991063,3.2288562886516803
Maule,11.0,82.0,1,2020/04/02,,,,,,,,,7,1131939,7.244206622441669
Ñuble,82.0,341.0,0,2020/04/02,,,,,,,,,16,511551,66.6600202130384
Biobío,35.0,275.0,2,2020/04/02,,,,,,,,,8,1663696,16.529462113270696
Araucanía,46.0,389.0,7,2020/04/02,,,,,,,,,9,1014343,38.349946714277124
Los Ríos,4.0,68.0,1,2020/04/02,,,,,,,,,14,405835,16.755578005839812
Los Lagos,22.0,203.0,0,2020/04/02,,,,,,,,,10,891440,22.772143946872475
Aysén,2.0,5.0,0,2020/04/02,,,,,,,,,11,107297,4.659962533901227
Magallanes,15.0,114.0,0,2020/04/02,,,,,,,,,12,178362,63.91495946445992
Arica y Parinacota,,,4,2020/05/02,307.0,10.0,4.0,6.0,1.67%,,,,15,252110,
Tarapacá,,,1,2020/05/02,212.0,12.0,11.0,1.0,1.15%,,,,1,382773,
Antofagasta,,,7,2020/05/02,679.0,90.0,80.0,10.0,3.68%,,,,2,691854,
Atacama,,,0,2020/05/02,59.0,16.0,13.0,3.0,0.32%,,,,3,314709,
Coquimbo,,,0,2020/05/02,78.0,1.0,1.0,0.0,0.42%,,,,4,836096,
Valparaíso,,,13,2020/05/02,614.0,46.0,42.0,4.0,3.33%,,,,5,1960170,
Metropolitana,,,122,2020/05/02,11661.0,1145.0,998.0,147.0,63.25%,,,,13,8125072,
O’Higgins,,,3,2020/05/02,120.0,11.0,10.0,1.0,0.65%,,,,6,991063,
Maule,,,13,2020/05/02,396.0,2.0,2.0,0.0,2.15%,,,,7,1131939,
Ñuble,,,16,2020/05/02,776.0,8.0,4.0,4.0,4.21%,,,,16,511551,
Biobío,,,7,2020/05/02,751.0,22.0,19.0,3.0,4.07%,,,,8,1663696,
Araucanía,,,36,2020/05/02,1314.0,19.0,19.0,0.0,7.13%,,,,9,1014343,
Los Ríos,,,4,2020/05/02,196.0,7.0,7.0,0.0,1.06%,,,,14,405835,
Los Lagos,,,10,2020/05/02,513.0,12.0,11.0,1.0,2.78%,,,,10,891440,
Aysén,,,0,2020/05/02,7.0,0.0,0.0,0.0,0.04%,,,,11,107297,
Magallanes,,,11,2020/05/02,752.0,26.0,25.0,1.0,4.08%,,,,12,178362,
Arica y Parinacota,12.0,75.0,0,2020/04/09,,,,,,,,,15,252110,29.74891912260521
Tarapacá,3.0,29.0,0,2020/04/09,,,,,,,,,1,382773,7.5762919537166935
Antofagasta,15.0,92.0,1,2020/04/09,,,,,,,,,2,691854,13.297603251553072
Atacama,2.0,10.0,0,2020/04/09,,,,,,,,,3,314709,3.1775386150380194
Coquimbo,5.0,61.0,0,2020/04/09,,,,,,,,,4,836096,7.295812921004287
Valparaíso,5.0,230.0,2,2020/04/09,,,,,,,,,5,1960170,11.73367616074116
Metropolitana,284.0,2832.0,21,2020/04/09,,,,,,,,,13,8125072,34.855075745790316
O’Higgins,1.0,44.0,0,2020/04/09,,,,,,,,,6,991063,4.439677396896061
Maule,9.0,128.0,2,2020/04/09,,,,,,,,,7,1131939,11.308029849665044
Ñuble,10.0,571.0,6,2020/04/09,,,,,,,,,16,511551,111.62132416904669
Biobío,21.0,460.0,2,2020/04/09,,,,,,,,,8,1663696,27.64928208038007
Araucanía,20.0,689.0,16,2020/04/09,,,,,,,,,9,1014343,67.9257410954677
Los Ríos,4.0,118.0,2,2020/04/09,,,,,,,,,14,405835,29.075855951310263
Los Lagos,15.0,340.0,2,2020/04/09,,,,,,,,,10,891440,38.14053665978641
Aysén,0.0,7.0,0,2020/04/09,,,,,,,,,11,107297,6.523947547461719
Magallanes,20.0,286.0,3,2020/04/09,,,,,,,,,12,178362,160.34805620031173
Arica y Parinacota,0.0,0.0,0,2020/03/09,,,,,,,,,15,252110,0.0
Tarapacá,0.0,0.0,0,2020/03/09,,,,,,,,,1,382773,0.0
Antofagasta,0.0,0.0,0,2020/03/09,,,,,,,,,2,691854,0.0
Atacama,0.0,0.0,0,2020/03/09,,,,,,,,,3,314709,0.0
Coquimbo,0.0,0.0,0,2020/03/09,,,,,,,,,4,836096,0.0
Valparaíso,0.0,0.0,0,2020/03/09,,,,,,,,,5,1960170,0.0
Metropolitana,3.0,9.0,0,2020/03/09,,,,,,,,,13,8125072,0.11076824919213024
O’Higgins,0.0,0.0,0,2020/03/09,,,,,,,,,6,991063,0.0
Maule,1.0,4.0,0,2020/03/09,,,,,,,,,7,1131939,0.3533759328020326
Ñuble,0.0,0.0,0,2020/03/09,,,,,,,,,16,511551,0.0
Biobío,1.0,1.0,0,2020/03/09,,,,,,,,,8,1663696,0.06010713495734797
Araucanía,0.0,0.0,0,2020/03/09,,,,,,,,,9,1014343,0.0
Los Ríos,0.0,0.0,0,2020/03/09,,,,,,,,,14,405835,0.0
Los Lagos,0.0,1.0,0,2020/03/09,,,,,,,,,10,891440,0.1121780489993718
Aysén,0.0,0.0,0,2020/03/09,,,,,,,,,11,107297,0.0
Magallanes,0.0,0.0,0,2020/03/09,,,,,,,,,12,178362,0.0
Arica y Parinacota,0.0,0.0,0,2020/03/10,,,,,,,,,15,252110,0.0
Tarapacá,0.0,0.0,0,2020/03/10,,,,,,,,,1,382773,0.0
Antofagasta,0.0,0.0,0,2020/03/10,,,,,,,,,2,691854,0.0
Atacama,0.0,0.0,0,2020/03/10,,,,,,,,,3,314709,0.0
Coquimbo,0.0,0.0,0,2020/03/10,,,,,,,,,4,836096,0.0
