Region,Codigo region,Comuna,Codigo comuna,Superficie_km2,Poblacion,Fecha,variable,value
Maule,7,Talca,7101,232.0,236724.0,2020-03-08,IM_interno,3.818725829432119
Maule,7,Talca,7101,232.0,236724.0,2020-03-09,IM_interno,5.789497252188072
Maule,7,Talca,7101,232.0,236724.0,2020-03-10,IM_interno,5.833319763891716
Maule,7,Talca,7101,232.0,236724.0,2020-03-11,IM_interno,5.646041115408101
Maule,7,Talca,7101,232.0,236724.0,2020-03-12,IM_interno,5.80920008141665
Maule,7,Talca,7101,232.0,236724.0,2020-03-13,IM_interno,6.161713820476288
Maule,7,Talca,7101,232.0,236724.0,2020-03-14,IM_interno,4.781192753918177
Maule,7,Talca,7101,232.0,236724.0,2020-03-15,IM_interno,3.636515367392632
Maule,7,Talca,7101,232.0,236724.0,2020-03-16,IM_interno,5.07498473437818
Maule,7,Talca,7101,232.0,236724.0,2020-03-17,IM_interno,4.5926928556889886
Maule,7,Talca,7101,232.0,236724.0,2020-03-18,IM_interno,4.459067779360879
Maule,7,Talca,7101,232.0,236724.0,2020-03-19,IM_interno,3.991471605943415
Maule,7,Talca,7101,232.0,236724.0,2020-03-20,IM_interno,4.0405861998778745
Maule,7,Talca,7101,232.0,236724.0,2020-03-21,IM_interno,2.9491553022593124
Maule,7,Talca,7101,232.0,236724.0,2020-03-22,IM_interno,2.2488092814980662
Maule,7,Talca,7101,232.0,236724.0,2020-03-23,IM_interno,3.546834927742724
Maule,7,Talca,7101,232.0,236724.0,2020-03-24,IM_interno,3.4230816201913283
Maule,7,Talca,7101,232.0,236724.0,2020-03-25,IM_interno,3.487665377569713
Maule,7,Talca,7101,232.0,236724.0,2020-03-26,IM_interno,3.4961937716262974
Maule,7,Talca,7101,232.0,236724.0,2020-03-27,IM_interno,3.666049257073072
Maule,7,Talca,7101,232.0,236724.0,2020-03-28,IM_interno,2.9344392428251576
Maule,7,Talca,7101,232.0,236724.0,2020-03-29,IM_interno,2.3244860573987385
Maule,7,Talca,7101,232.0,236724.0,2020-03-30,IM_interno,3.6433340118054143
Maule,7,Talca,7101,232.0,236724.0,2020-03-31,IM_interno,3.80936291471606
Maule,7,Talca,7101,232.0,236724.0,2020-04-01,IM_interno,3.7720130266639527
Maule,7,Talca,7101,232.0,236724.0,2020-04-02,IM_interno,3.625829432118868
Maule,7,Talca,7101,232.0,236724.0,2020-04-03,IM_interno,3.923285161815592
Maule,7,Talca,7101,232.0,236724.0,2020-04-04,IM_interno,3.2029309993893746
Maule,7,Talca,7101,232.0,236724.0,2020-04-05,IM_interno,2.5006106248727864
Maule,7,Talca,7101,232.0,236724.0,2020-04-06,IM_interno,3.8684917565642167
Maule,7,Talca,7101,232.0,236724.0,2020-04-07,IM_interno,3.8532464889069815
Maule,7,Talca,7101,232.0,236724.0,2020-04-08,IM_interno,3.8584775086505188
Maule,7,Talca,7101,232.0,236724.0,2020-04-09,IM_interno,4.020150620801954
Maule,7,Talca,7101,232.0,236724.0,2020-04-10,IM_interno,2.403989415835538
Maule,7,Talca,7101,232.0,236724.0,2020-04-11,IM_interno,2.4944636678200687
Maule,7,Talca,7101,232.0,236724.0,2020-04-12,IM_interno,2.404803582332587
Maule,7,Pencahue,7107,956.8,8601.0,2020-02-26,IM_interno,3.191823899371069
Maule,7,Pencahue,7107,956.8,8601.0,2020-02-27,IM_interno,3.1540880503144653
Maule,7,Pencahue,7107,956.8,8601.0,2020-02-28,IM_interno,2.99874213836478
Maule,7,Pencahue,7107,956.8,8601.0,2020-02-29,IM_interno,2.6119496855345914
Maule,7,Pencahue,7107,956.8,8601.0,2020-03-01,IM_interno,2.527044025157233
Maule,7,Pencahue,7107,956.8,8601.0,2020-03-02,IM_interno,2.8861635220125788
Maule,7,Pencahue,7107,956.8,8601.0,2020-03-03,IM_interno,3.177987421383648
Maule,7,Pencahue,7107,956.8,8601.0,2020-03-04,IM_interno,2.953459119496855
Maule,7,Pencahue,7107,956.8,8601.0,2020-03-05,IM_interno,3.0276729559748428
Maule,7,Pencahue,7107,956.8,8601.0,2020-03-06,IM_interno,3.028930817610063
Maule,7,Pencahue,7107,956.8,8601.0,2020-03-07,IM_interno,2.6213836477987416
Maule,7,Pencahue,7107,956.8,8601.0,2020-03-08,IM_interno,2.5006289308176095
Maule,7,Pencahue,7107,956.8,8601.0,2020-03-09,IM_interno,2.89874213836478
Maule,7,Pencahue,7107,956.8,8601.0,2020-03-10,IM_interno,3.0383647798742137
Maule,7,Pencahue,7107,956.8,8601.0,2020-03-11,IM_interno,2.8867924528301887
Maule,7,Pencahue,7107,956.8,8601.0,2020-03-12,IM_interno,3.240880503144654
Maule,7,Pencahue,7107,956.8,8601.0,2020-03-13,IM_interno,3.189937106918239
Maule,7,Pencahue,7107,956.8,8601.0,2020-03-14,IM_interno,2.7031446540880504
