Region,Codigo region,Comuna,Codigo comuna,Superficie_km2,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12
Biobío,8.0,Alto Biobío,8314,2124.6,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biobío,8.0,Antuco,8302,1884.1,9,9,8,9,8,8,8,8,8,8,8,8,8,8,8,9,9,9,10,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,8,8,9,9,9,8,8,8
Biobío,8.0,Arauco,8202,956.1,5,5,5,5,3,4,5,5,5,5,4,3,4,5,4,5,5,4,4,4,4,4,3,3,2,2,2,2,2,2,3,2,2,3,3,3,3,3,3,2,3,3,3,3,2,2,2
Biobío,8.0,Cabrero,8303,639.8,6,6,7,7,6,6,5,5,5,6,5,5,5,5,5,5,6,5,4,5,5,4,4,4,3,2,3,3,3,3,3,2,2,3,3,3,3,3,3,2,3,3,3,3,2,2,2
Biobío,8.0,Cañete,8203,1089.2,6,6,6,6,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,3,3,3
Biobío,8.0,Chiguayante,8103,71.5,4,4,4,4,3,4,4,4,4,5,4,3,4,4,4,4,5,4,3,4,4,3,3,3,2,2,3,3,3,3,3,2,2,3,3,3,3,3,2,2,3,3,3,3,1,2,1
Biobío,8.0,Concepción,8101,221.6,11,11,12,9,7,11,11,11,11,12,9,6,12,12,11,11,12,9,6,10,8,7,6,6,4,3,5,5,5,5,5,4,3,5,5,5,5,5,4,3,5,5,5,5,2,3,2
Biobío,8.0,Contulmo,8204,638.8,7,7,7,10,8,5,5,5,5,6,6,5,4,4,4,4,4,5,5,4,4,4,4,4,4,3,4,4,4,4,4,3,3,4,3,4,4,3,3,2,3,3,3,3,3,3,3
Biobío,8.0,Coronel,8102,279.4,5,5,5,5,4,5,5,5,5,5,4,4,5,5,5,5,5,5,4,5,4,4,4,4,3,2,3,3,3,3,4,3,2,3,4,3,3,3,3,3,4,3,3,3,2,2,2
Biobío,8.0,Curanilahue,8205,994.3,3,3,3,3,2,3,3,3,3,3,3,2,3,3,3,3,3,3,2,3,3,3,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1
Biobío,8.0,Florida,8104,608.6,6,6,7,8,8,6,5,5,5,7,7,7,5,5,5,5,7,7,6,5,5,5,4,5,4,3,4,3,4,4,4,3,3,4,4,4,4,4,4,3,4,4,4,4,2,2,2
Biobío,8.0,Hualpén,8112,53.5,9,9,10,9,8,10,10,10,10,10,9,8,10,10,10,9,10,8,8,8,7,7,7,7,5,5,6,6,6,6,6,5,4,6,6,6,6,6,5,5,7,5,5,5,4,4,4
Biobío,8.0,Hualqui,8105,530.5,5,5,6,6,5,5,5,5,5,6,6,5,5,5,5,5,5,6,5,5,4,4,4,4,4,3,3,3,4,4,5,4,3,5,5,5,5,5,4,4,2,5,5,5,2,2,2
Biobío,8.0,Laja,8304,339.8,8,8,8,7,6,8,8,8,9,9,7,6,8,8,8,9,10,8,7,9,8,8,7,7,6,5,7,7,7,7,7,6,6,7,8,8,8,8,7,5,7,7,6,7,6,6,6
Biobío,8.0,Lebu,8201,561.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Biobío,8.0,Los Alamos,8206,599.1,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Biobío,8.0,Los Angeles,8301,1748.2,6,6,6,6,4,6,6,6,6,6,5,4,6,6,5,6,6,5,4,5,5,5,4,4,3,2,4,3,4,4,4,3,2,4,4,4,4,4,3,3,4,4,4,4,2,3,2
Biobío,8.0,Lota,8106,135.8,8,8,8,8,7,8,8,8,8,9,8,7,8,8,8,8,9,8,7,8,7,7,6,6,5,4,5,5,5,5,6,5,4,6,6,6,6,6,6,5,6,6,5,6,4,4,4
Biobío,8.0,Mulchén,8305,1925.3,4,4,4,4,3,3,4,3,3,3,3,2,3,3,3,3,3,2,2,3,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,1,1,1
Biobío,8.0,Nacimiento,8306,934.9,3,4,4,4,4,4,4,4,4,4,3,3,4,3,3,4,4,4,3,4,4,4,3,3,3,2,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2
Biobío,8.0,Negrete,8307,156.5,5,6,6,5,4,5,4,5,5,5,5,4,5,5,5,5,6,5,4,5,5,5,4,5,3,3,4,4,4,4,4,3,3,4,4,4,4,4,4,3,4,4,4,4,3,3,3
Biobío,8.0,Penco,8107,107.6,9,9,9,9,8,9,9,9,9,9,9,8,9,9,9,9,10,9,8,9,8,8,8,8,7,5,7,7,7,6,7,6,6,7,7,7,7,7,7,6,7,7,7,7,6,6,5
Biobío,8.0,Quilaco,8308,1123.7,2,2,2,3,3,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,1,1,2,2,2,1,2,2,1,2,2,2,2,1,1,1
Biobío,8.0,Quilleco,8309,1121.8,5,4,5,4,4,4,4,4,4,5,4,3,4,4,4,4,5,5,4,4,4,4,4,4,4,3,4,3,4,4,4,3,3,4,4,4,4,4,4,3,3,4,4,3,3,3,3
Biobío,8.0,San Pedro de la Paz,8108,112.5,7,7,7,6,5,7,7,7,7,7,6,5,7,7,7,7,8,7,5,6,6,5,5,5,4,3,4,4,4,3,3,3,2,3,4,3,3,4,3,3,4,3,3,3,2,2,2
Biobío,8.0,San Rosendo,8310,92.4,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,2,3,3,3,3,3,3,2,3,3,3,3,2,2,2
Biobío,8.0,Santa Bárbara,8311,1254.9,9,9,8,7,8,8,13,9,10,10,9,7,9,9,8,8,8,8,7,9,9,9,10,10,8,6,8,6,8,9,8,8,7,9,9,8,9,10,9,8,8,9,9,8,6,7,6
Biobío,8.0,Santa Juana,8109,731.2,3,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,2,2,2,1,2,2
Biobío,8.0,Talcahuano,8110,92.3,9,9,9,8,7,9,9,10,9,10,8,7,9,9,9,10,10,8,7,9,8,8,7,7,5,4,6,6,6,6,6,5,4,6,6,7,6,7,6,5,7,6,6,6,5,5,4
Biobío,8.0,Tirúa,8207,624.4,3,3,3,4,3,2,3,2,3,3,3,3,3,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Biobío,8.0,Tomé,8111,494.5,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,4,4,4,4,3,3,3,3,3,3,4,3,3,4,4,4,4,4,3,3,4,4,3,3,2,2,2
Biobío,8.0,Tucapel,8312,914.9,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,4,4,4
Biobío,8.0,Yumbel,8313,727,5,5,5,5,5,4,4,4,4,5,5,5,4,4,4,4,5,5,5,5,4,4,4,4,3,3,4,3,3,3,4,3,3,4,4,4,4,4,4,3,4,4,3,3,3,3,3
Coquimbo,4.0,Andacollo,4103,310,11,10,10,9,9,9,9,9,10,10,9,8,9,9,9,10,10,9,9,9,9,9,9,9,8,7,9,9,9,8,9,8,7,9,9,9,8,9,8,7,8,9,8,9,7,7,7
Coquimbo,4.0,Canela,4202,2196.6,10,10,10,9,8,8,7,7,7,8,7,6,7,7,7,7,8,6,6,7,6,6,5,5,4,3,4,4,4,4,4,3,2,3,4,4,4,4,3,3,3,4,4,4,2,2,2
Coquimbo,4.0,Combarbalá,4302,2257.5,3,3,3,3,3,3,3,3,4,5,4,3,4,3,3,4,4,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3
Coquimbo,4.0,Coquimbo,4102,1429,9,9,9,8,7,8,8,8,8,8,7,7,8,8,8,8,9,7,7,7,7,7,6,6,5,5,6,6,6,6,6,5,5,6,6,6,6,6,5,5,6,6,6,6,5,5,4
Coquimbo,4.0,Illapel,4201,2629,7,7,6,6,5,6,6,6,6,6,5,5,6,6,6,6,6,5,4,6,5,5,5,5,4,4,5,5,5,5,5,4,4,5,5,5,5,5,4,4,5,5,4,4,4,4,4
Coquimbo,4.0,La Higuera,4104,4158.2,10,10,10,9,9,8,8,8,8,8,8,7,7,8,8,7,8,7,7,7,7,7,6,6,6,5,5,6,6,5,5,4,4,4,6,5,4,5,4,4,5,6,6,5,3,3,3
Coquimbo,4.0,La Serena,4101,1892.8,10,10,10,9,7,10,10,10,10,10,8,7,9,10,9,9,10,8,6,8,7,7,6,6,5,4,6,6,6,6,6,5,4,6,6,6,6,6,5,4,6,6,6,6,4,4,4
Coquimbo,4.0,Los Vilos,4203,1823.8,6,6,6,6,6,6,5,6,5,5,5,4,5,5,5,5,5,5,4,5,4,4,4,4,3,2,3,3,3,3,3,3,2,3,3,3,3,3,3,2,3,3,3,3,2,2,2
Coquimbo,4.0,Monte Patria,4303,4366.9,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,2,3,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2
Coquimbo,4.0,Ovalle,4301,3835,7,7,8,7,6,8,7,7,7,8,7,6,7,7,7,7,8,6,5,7,6,6,6,6,5,4,6,5,5,5,5,4,4,5,5,5,5,5,5,4,5,5,5,5,4,4,3
Coquimbo,4.0,Paiguano,4105,1495,6,6,6,7,6,4,4,4,4,5,5,4,4,5,4,4,5,5,4,4,3,3,3,3,2,1,2,2,2,3,3,2,2,2,2,2,2,2,2,1,3,2,2,2,1,1,1
Coquimbo,4.0,Punitaqui,4304,1339,7,6,6,6,6,6,7,7,6,7,6,5,6,6,6,6,7,6,5,6,6,6,6,6,5,5,6,6,6,5,6,5,5,6,6,6,6,6,5,5,6,6,6,6,5,5,5
Coquimbo,4.0,Río Hurtado,4305,2180,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,1,0,0,0
Coquimbo,4.0,Salamanca,4204,3445,4,4,4,3,2,4,4,4,4,4,3,2,3,3,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Coquimbo,4.0,Vicuña,4106,7610,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,3,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
La Araucanía,9.0,Angol,9201,1194.4,5,5,5,4,3,5,5,6,5,6,4,3,5,5,5,5,6,5,4,5,4,4,4,4,3,2,3,3,3,3,3,3,2,3,3,3,3,3,3,2,4,4,4,4,2,2,2
La Araucanía,9.0,Carahue,9102,1340.6,7,7,7,9,8,7,7,7,7,7,6,6,7,7,6,6,7,7,6,5,5,5,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,5,4,3,3,3
La Araucanía,9.0,Cholchol,9121,427.9,5,6,5,6,6,2,6,6,5,5,6,5,5,7,5,6,3,4,5,5,5,5,4,4,5,5,5,4,4,5,5,4,4,4,5,5,4,4,4,4,4,4,4,4,3,3,3
La Araucanía,9.0,Collipulli,9202,1295.9,3,3,3,3,2,3,3,3,3,3,2,2,3,3,3,3,3,2,2,2,2,2,2,2,1,1,1,1,1,1,2,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0
La Araucanía,9.0,Cunco,9103,1906.5,5,5,5,5,5,5,5,5,5,5,4,4,5,4,4,4,5,4,4,4,4,4,4,4,3,3,4,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3
La Araucanía,9.0,Curacautín,9203,1664,4,4,4,4,4,3,3,3,3,4,4,3,4,3,3,3,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1
La Araucanía,9.0,Curarrehue,9104,1170.7,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,1,2,1
La Araucanía,9.0,Ercilla,9204,499.7,12,12,13,12,11,12,11,10,10,11,10,10,10,10,11,11,11,9,8,10,9,9,8,7,6,4,6,6,6,6,6,5,3,5,5,5,5,6,4,3,5,6,6,5,3,3,3
La Araucanía,9.0,Freire,9105,935.2,11,11,12,11,11,10,10,9,9,11,10,9,9,9,9,9,11,9,8,8,7,7,6,6,5,4,5,5,5,5,6,4,3,4,5,5,5,5,4,3,5,5,5,5,3,3,3
