Region,Codigo region,Comuna,Codigo comuna,Superficie_km2,Poblacion,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12
Biobío,8.0,Los Angeles,8301,1748.2,218515.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biobío,8.0,Lota,8106,135.8,45750.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,2,1,2,2,2,2,3,2,2,3,3,2,3,3,2,2,3,3,3,3,1,1,1
Biobío,8.0,Mulchén,8305,1925.3,31041.0,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
Biobío,8.0,Nacimiento,8306,934.9,27944.0,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,1,1,1
Biobío,8.0,Negrete,8307,156.5,10429.0,3,3,4,3,2,3,3,4,3,3,3,2,3,3,3,3,4,3,2,3,3,3,3,3,2,1,2,2,2,2,2,2,1,2,3,2,2,3,2,2,3,3,3,2,1,1,1
Biobío,8.0,Penco,8107,107.6,49865.0,5,5,6,6,4,5,5,5,5,5,5,4,5,5,5,5,6,5,5,5,4,4,4,4,3,2,3,3,3,3,3,3,3,4,4,4,4,4,3,3,4,4,3,4,3,3,2
Biobío,8.0,Quilaco,8308,1123.7,4179.0,1,1,1,2,2,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Biobío,8.0,Quilleco,8309,1121.8,10032.0,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,4,3,3,3,4,4,3,4,3,3,3,3,3,3,2,2,3
Biobío,8.0,San Pedro de la Paz,8108,112.5,145906.0,4,4,4,3,3,4,4,4,4,4,3,3,4,4,4,4,4,3,2,3,3,3,2,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1
Biobío,8.0,San Rosendo,8310,92.4,3611.0,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,2,3,3,3,3,3,3,2,3,3,3,3,2,2,2
Biobío,8.0,Santa Bárbara,8311,1254.9,14592.0,9,9,8,6,7,8,12,9,10,10,8,6,8,9,8,8,8,7,6,9,9,8,9,9,7,6,7,6,7,8,7,7,6,8,8,8,8,9,8,7,7,8,8,7,5,6,6
Biobío,8.0,Santa Juana,8109,731.2,14779.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,0,1,1
