Region,Codigo region,Comuna,Codigo comuna,Superficie_km2,Poblacion,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17
Atacama,3,Alto del Carmen,3302,6155.88,5729.0,0.639740019,0.794336119,1.053853296,1.045961003,1.08727948,0.9182915509999999,0.862116992,1.053853296,1.146703807,1.009285051,1.073351903,1.036675952,0.879758589,0.831012071,1.012070566,0.985608171,1.029712163,0.8133704740000001,0.762766945,0.759517177,0.9902506959999999,1.0965645309999998,1.146703807,0.8133704740000001,1.093314763,0.9503249770000001,0.887650882,1.097493036,1.092850511,1.15273909,1.124419684,1.133240483,0.930362117,0.8426183840000001
Atacama,3,Caldera,3102,3680.47,19426.0,6.0181451610000005,5.88042804,5.985421836,5.589174937999999,5.746743176,5.499379652999999,5.0959987589999995,5.744882134,6.474875931000001,6.111972705,5.953163772000001,5.819789082000001,5.59692928,5.335918114,5.787065757000001,5.8421215879999995,5.5290012410000005,5.100806452,5.292493797,4.6353908189999995,5.63632134,6.40307072,6.444944168999999,4.197735732,6.214795285,5.819168734,5.504807692000001,5.732320099,6.287686104,6.500930521,6.007909429,6.025434242999999,5.827078164,5.400279156
Atacama,3,Chañaral,3201,5758.87,13164.0,2.4709494569999997,3.19886632,3.1454888989999996,2.609116675,2.602503543,2.309400094,2.248228625,2.598960794,3.175011809,3.2673594710000002,2.7635805380000003,2.598960794,2.4948039680000003,2.325460557,3.3242796410000004,3.164619745,2.565422768,2.4508738780000003,2.166273028,2.195559754,2.560462919,3.32923949,3.2501180919999997,1.925602267,2.77019367,2.47118564,2.3564005669999997,2.620217289,2.986065187,3.1610769960000002,2.647142182,2.681152574,2.590694379,2.67217761
Atacama,3,Copiapó,3101,17782.9,171766.0,5.782620002000001,5.754361253,5.805135984,5.681937371,5.994929028,5.568924044,4.539885145,5.87372413,6.077776574,6.210987106,6.135095893,6.380777982000001,5.368187236,4.763137935,5.895850038,5.803922417999999,5.956983422,4.691255824,5.484082783,4.76036407,6.054133708999999,6.324845595,6.119882978,4.5515007039999995,6.33871492,5.787864341000001,5.25231336,5.75509806,5.795340774,6.071275328,5.802860548,6.50011919,5.483649366,4.7401018530000005
Atacama,3,Diego de Almagro,3202,18969.2,14358.0,1.001599269,0.9970299290000001,1.0141649529999999,1.139364862,2.272332648,0.8581220009999999,0.818597213,1.144848069,1.130683116,1.105323281,1.039981723,1.14027873,0.861777473,0.742746173,1.071053233,1.1060086820000001,1.0589444829999999,0.8028329909999999,0.875028558,0.8158556090000001,1.083847384,1.13114005,1.129997715,0.777930089,1.098697738,0.85972127,0.82408042,1.0673977609999998,1.142106466,1.140964131,1.080420379,1.106694083,0.891706648,0.865204478
Atacama,3,Freirina,3303,3222.55,7681.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Atacama,3,Huasco,3304,1602.25,11264.0,1.49940875,1.5112337409999999,1.6432794640000001,1.5746945209999998,1.61253449,1.520299566,1.3748521880000002,1.6448561290000001,1.713441072,1.540796216,1.690185258,1.694126922,1.6279069769999999,1.3634213640000001,1.619629484,1.579818683,1.6566811190000001,1.38431218,1.4193929840000001,1.342924714,1.722901064,1.7666535280000002,1.787544344,1.262908948,1.806070162,1.759558534,1.7430035469999998,1.734726054,1.766259361,1.739061884,1.7839968469999998,1.858100118,1.630271975,1.446196295
Atacama,3,Tierra Amarilla,3103,11251.1,14312.0,3.3994056460000004,3.499405646,3.402971768,3.441901932,3.4598811289999998,3.1931649330000003,2.139524517,3.2754829119999997,3.585438336,3.560326895,3.6471025260000003,3.5,3.088558692,2.8099554230000003,3.535066865,3.511738484,3.4641901930000003,3.039524517,2.8855869239999996,2.711887073,3.5653789,3.9699851410000004,4.156760773,2.721693908,3.886775632,3.461218425,3.519465082,3.969242199,3.9699851410000004,4.0817236260000005,3.856315007,4.041010401,3.46077266,3.2511144130000003
Atacama,3,Vallenar,3301,7226.86,57009.0,4.768841349,5.092675757,5.216297869,4.7694129169999995,5.071691026,4.536866171000001,4.127623091,4.974279415,5.374214092999999,5.0703029310000005,4.883481669,4.942598187,4.406956806,4.235241284,4.899893852,5.141585694,5.23850739,4.253858088,4.427369968,4.075855312,5.1535069810000005,5.358863395,5.416183555,4.075936963999999,5.325875725,4.724585613,4.275904303,4.83791949,5.108434719,5.093655589,4.860129011000001,5.093084021,4.654364333999999,4.11464032
Aysén del General Carlos Ibáñez del Campo,11,Chile Chico,11401,5739.01,5121.0,0.075566751,0.062972292,0.083123426,0.042821159000000004,0.074307305,0.041561713,0.037783375,0.06549118400000001,0.059193955,0.06675063,0.060453401,0.062972292,0.037783375,0.0,0.042821159000000004,0.06549118400000001,0.086901763,0.035264484,0.042821159000000004,0.0302267,0.046599496,0.064231738,0.06549118400000001,0.068010076,0.076826196,0.06549118400000001,0.035264484,0.054156170999999996,0.060453401,0.104534005,0.070528967,0.074307305,0.054156170999999996,0.040302267
