Region,Codigo region,Poblacion,fecha,numero
Araucanía,09,1014343,2020-04-19,44
Los Ríos,14,405835,2020-04-19,7
Los Lagos,10,891440,2020-04-19,25
Aysén,11,107297,2020-04-19,0
Magallanes,12,178362,2020-04-19,18
Arica y Parinacota,15,252110,2020-04-20,5
Tarapacá,01,382773,2020-04-20,1
Antofagasta,02,691854,2020-04-20,5
Atacama,03,314709,2020-04-20,1
Coquimbo,04,836096,2020-04-20,0
Valparaíso,05,1960170,2020-04-20,22
Metropolitana,13,8125072,2020-04-20,194
O’Higgins,06,991063,2020-04-20,4
Maule,07,1131939,2020-04-20,9
Ñuble,16,511551,2020-04-20,15
Biobío,08,1663696,2020-04-20,26
Araucanía,09,1014343,2020-04-20,45
Los Ríos,14,405835,2020-04-20,5
Los Lagos,10,891440,2020-04-20,24
Aysén,11,107297,2020-04-20,0
Magallanes,12,178362,2020-04-20,21
Arica y Parinacota,15,252110,2020-04-21,5
Tarapacá,01,382773,2020-04-21,1
Antofagasta,02,691854,2020-04-21,7
Atacama,03,314709,2020-04-21,1
Coquimbo,04,836096,2020-04-21,0
Valparaíso,05,1960170,2020-04-21,22
Metropolitana,13,8125072,2020-04-21,204
O’Higgins,06,991063,2020-04-21,3
Maule,07,1131939,2020-04-21,14
Ñuble,16,511551,2020-04-21,15
Biobío,08,1663696,2020-04-21,25
Araucanía,09,1014343,2020-04-21,45
Los Ríos,14,405835,2020-04-21,6
Los Lagos,10,891440,2020-04-21,25
Aysén,11,107297,2020-04-21,0
Magallanes,12,178362,2020-04-21,19
Arica y Parinacota,15,252110,2020-04-22,4
Tarapacá,01,382773,2020-04-22,2
Antofagasta,02,691854,2020-04-22,10
Atacama,03,314709,2020-04-22,1
Coquimbo,04,836096,2020-04-22,0
Valparaíso,05,1960170,2020-04-22,24
Metropolitana,13,8125072,2020-04-22,213
O’Higgins,06,991063,2020-04-22,4
Maule,07,1131939,2020-04-22,10
Ñuble,16,511551,2020-04-22,15
Biobío,08,1663696,2020-04-22,25
Araucanía,09,1014343,2020-04-22,43
Los Ríos,14,405835,2020-04-22,7
Los Lagos,10,891440,2020-04-22,23
Aysén,11,107297,2020-04-22,0
Magallanes,12,178362,2020-04-22,18
Arica y Parinacota,15,252110,2020-04-23,4
Tarapacá,01,382773,2020-04-23,2
Antofagasta,02,691854,2020-04-23,14
Atacama,03,314709,2020-04-23,1
Coquimbo,04,836096,2020-04-23,0
Valparaíso,05,1960170,2020-04-23,20
Metropolitana,13,8125072,2020-04-23,234
O’Higgins,06,991063,2020-04-23,4
Maule,07,1131939,2020-04-23,9
Ñuble,16,511551,2020-04-23,15
Biobío,08,1663696,2020-04-23,25
Araucanía,09,1014343,2020-04-23,37
Los Ríos,14,405835,2020-04-23,7
Los Lagos,10,891440,2020-04-23,22
Aysén,11,107297,2020-04-23,0
Magallanes,12,178362,2020-04-23,17
Arica y Parinacota,15,252110,2020-04-24,7
Tarapacá,01,382773,2020-04-24,2
Antofagasta,02,691854,2020-04-24,16
Atacama,03,314709,2020-04-24,1
Coquimbo,04,836096,2020-04-24,0
Valparaíso,05,1960170,2020-04-24,17
Metropolitana,13,8125072,2020-04-24,242
O’Higgins,06,991063,2020-04-24,4
Maule,07,1131939,2020-04-24,9
Ñuble,16,511551,2020-04-24,13
Biobío,08,1663696,2020-04-24,22
Araucanía,09,1014343,2020-04-24,38
Los Ríos,14,405835,2020-04-24,7
Los Lagos,10,891440,2020-04-24,21
Aysén,11,107297,2020-04-24,0
Magallanes,12,178362,2020-04-24,16
Arica y Parinacota,15,252110,2020-04-25,8
Tarapacá,01,382773,2020-04-25,3
Antofagasta,02,691854,2020-04-25,16
Atacama,03,314709,2020-04-25,1
Coquimbo,04,836096,2020-04-25,0
Valparaíso,05,1960170,2020-04-25,16
Metropolitana,13,8125072,2020-04-25,246
O’Higgins,06,991063,2020-04-25,4
Maule,07,1131939,2020-04-25,8
Ñuble,16,511551,2020-04-25,10
Biobío,08,1663696,2020-04-25,22
Araucanía,09,1014343,2020-04-25,39
Los Ríos,14,405835,2020-04-25,7
Los Lagos,10,891440,2020-04-25,21
Aysén,11,107297,2020-04-25,0
Magallanes,12,178362,2020-04-25,17
Arica y Parinacota,15,252110,2020-04-26,9
Tarapacá,01,382773,2020-04-26,2
Antofagasta,02,691854,2020-04-26,15
Atacama,03,314709,2020-04-26,1
Coquimbo,04,836096,2020-04-26,0
Valparaíso,05,1960170,2020-04-26,14
Metropolitana,13,8125072,2020-04-26,248
O’Higgins,06,991063,2020-04-26,4
Maule,07,1131939,2020-04-26,10
Ñuble,16,511551,2020-04-26,10
Biobío,08,1663696,2020-04-26,23
Araucanía,09,1014343,2020-04-26,38
Los Ríos,14,405835,2020-04-26,7
Los Lagos,10,891440,2020-04-26,17
Aysén,11,107297,2020-04-26,0
Magallanes,12,178362,2020-04-26,17
Arica y Parinacota,15,252110,2020-04-27,10
Tarapacá,01,382773,2020-04-27,2
Antofagasta,02,691854,2020-04-27,17
Atacama,03,314709,2020-04-27,1
Coquimbo,04,836096,2020-04-27,0
Valparaíso,05,1960170,2020-04-27,15
Metropolitana,13,8125072,2020-04-27,252
O’Higgins,06,991063,2020-04-27,4
Maule,07,1131939,2020-04-27,10
Ñuble,16,511551,2020-04-27,10
Biobío,08,1663696,2020-04-27,24
Araucanía,09,1014343,2020-04-27,37
Los Ríos,14,405835,2020-04-27,6
Los Lagos,10,891440,2020-04-27,17
Aysén,11,107297,2020-04-27,0
Magallanes,12,178362,2020-04-27,21
Arica y Parinacota,15,252110,2020-04-28,10
Tarapacá,01,382773,2020-04-28,2
Antofagasta,02,691854,2020-04-28,19
Atacama,03,314709,2020-04-28,1
Coquimbo,04,836096,2020-04-28,0
Valparaíso,05,1960170,2020-04-28,15
Metropolitana,13,8125072,2020-04-28,258
O’Higgins,06,991063,2020-04-28,5
Maule,07,1131939,2020-04-28,8
Ñuble,16,511551,2020-04-28,9
Biobío,08,1663696,2020-04-28,21
Araucanía,09,1014343,2020-04-28,35
Los Ríos,14,405835,2020-04-28,5
Los Lagos,10,891440,2020-04-28,18
Aysén,11,107297,2020-04-28,0
Magallanes,12,178362,2020-04-28,22
Arica y Parinacota,15,252110,2020-04-29,9
Tarapacá,01,382773,2020-04-29,3
Antofagasta,02,691854,2020-04-29,20
Atacama,03,314709,2020-04-29,1
Coquimbo,04,836096,2020-04-29,0
Valparaíso,05,1960170,2020-04-29,14
Metropolitana,13,8125072,2020-04-29,256
O’Higgins,06,991063,2020-04-29,4
Maule,07,1131939,2020-04-29,7
Ñuble,16,511551,2020-04-29,7
Biobío,08,1663696,2020-04-29,22
Araucanía,09,1014343,2020-04-29,35
Los Ríos,14,405835,2020-04-29,5
Los Lagos,10,891440,2020-04-29,18
Aysén,11,107297,2020-04-29,0
Magallanes,12,178362,2020-04-29,17
Arica y Parinacota,15,252110,2020-04-30,8
Tarapacá,01,382773,2020-04-30,2
Antofagasta,02,691854,2020-04-30,21
Atacama,03,314709,2020-04-30,1
Coquimbo,04,836096,2020-04-30,0
Valparaíso,05,1960170,2020-04-30,18
Metropolitana,13,8125072,2020-04-30,257
O’Higgins,06,991063,2020-04-30,5
Maule,07,1131939,2020-04-30,6
Ñuble,16,511551,2020-04-30,7
Biobío,08,1663696,2020-04-30,22
Araucanía,09,1014343,2020-04-30,30
Los Ríos,14,405835,2020-04-30,5
Los Lagos,10,891440,2020-04-30,19
Aysén,11,107297,2020-04-30,0
Magallanes,12,178362,2020-04-30,18
Arica y Parinacota,15,252110,2020-05-01,9
Tarapacá,01,382773,2020-05-01,2
Antofagasta,02,691854,2020-05-01,23
Atacama,03,314709,2020-05-01,1
Coquimbo,04,836096,2020-05-01,0
Valparaíso,05,1960170,2020-05-01,19
Metropolitana,13,8125072,2020-05-01,262
O’Higgins,06,991063,2020-05-01,6
Maule,07,1131939,2020-05-01,5
Ñuble,16,511551,2020-05-01,8
Biobío,08,1663696,2020-05-01,23
Araucanía,09,1014343,2020-05-01,29
Los Ríos,14,405835,2020-05-01,5
Los Lagos,10,891440,2020-05-01,18
Aysén,11,107297,2020-05-01,0
Magallanes,12,178362,2020-05-01,18
Arica y Parinacota,15,252110,2020-05-02,7
Tarapacá,01,382773,2020-05-02,2
Antofagasta,02,691854,2020-05-02,22
Atacama,03,314709,2020-05-02,1
Coquimbo,04,836096,2020-05-02,0
Valparaíso,05,1960170,2020-05-02,18
Metropolitana,13,8125072,2020-05-02,269
O’Higgins,06,991063,2020-05-02,5
Maule,07,1131939,2020-05-02,5
Ñuble,16,511551,2020-05-02,8
Biobío,08,1663696,2020-05-02,21
Araucanía,09,1014343,2020-05-02,28
Los Ríos,14,405835,2020-05-02,4
Los Lagos,10,891440,2020-05-02,17
Aysén,11,107297,2020-05-02,0
Magallanes,12,178362,2020-05-02,18
Arica y Parinacota,15,252110,2020-05-03,7
Tarapacá,01,382773,2020-05-03,4
Antofagasta,02,691854,2020-05-03,24
Atacama,03,314709,2020-05-03,1
Coquimbo,04,836096,2020-05-03,0
Valparaíso,05,1960170,2020-05-03,17
Metropolitana,13,8125072,2020-05-03,289
O’Higgins,06,991063,2020-05-03,5
Maule,07,1131939,2020-05-03,8
Ñuble,16,511551,2020-05-03,9
Biobío,08,1663696,2020-05-03,20
Araucanía,09,1014343,2020-05-03,27
Los Ríos,14,405835,2020-05-03,3
Los Lagos,10,891440,2020-05-03,17
Aysén,11,107297,2020-05-03,0
Magallanes,12,178362,2020-05-03,18
Arica y Parinacota,15,252110,2020-05-04,7
Tarapacá,01,382773,2020-05-04,4
Antofagasta,02,691854,2020-05-04,25
Atacama,03,314709,2020-05-04,1
Coquimbo,04,836096,2020-05-04,0
Valparaíso,05,1960170,2020-05-04,18
Metropolitana,13,8125072,2020-05-04,303
O’Higgins,06,991063,2020-05-04,5
Maule,07,1131939,2020-05-04,8
Ñuble,16,511551,2020-05-04,9
Biobío,08,1663696,2020-05-04,18
Araucanía,09,1014343,2020-05-04,26
Los Ríos,14,405835,2020-05-04,3
Los Lagos,10,891440,2020-05-04,18
Aysén,11,107297,2020-05-04,0
Magallanes,12,178362,2020-05-04,19
Arica y Parinacota,15,252110,2020-05-05,6
Tarapacá,01,382773,2020-05-05,5
Antofagasta,02,691854,2020-05-05,24
Atacama,03,314709,2020-05-05,1
Coquimbo,04,836096,2020-05-05,0
Valparaíso,05,1960170,2020-05-05,17
Metropolitana,13,8125072,2020-05-05,314
O’Higgins,06,991063,2020-05-05,7
Maule,07,1131939,2020-05-05,7
Ñuble,16,511551,2020-05-05,7
Biobío,08,1663696,2020-05-05,18
Araucanía,09,1014343,2020-05-05,25
Los Ríos,14,405835,2020-05-05,4
Los Lagos,10,891440,2020-05-05,16
Aysén,11,107297,2020-05-05,0
Magallanes,12,178362,2020-05-05,19
Arica y Parinacota,15,252110,2020-05-06,7
Tarapacá,01,382773,2020-05-06,5
Antofagasta,02,691854,2020-05-06,28
Atacama,03,314709,2020-05-06,1
Coquimbo,04,836096,2020-05-06,0
Valparaíso,05,1960170,2020-05-06,16
Metropolitana,13,8125072,2020-05-06,340
O’Higgins,06,991063,2020-05-06,5
Maule,07,1131939,2020-05-06,4
Ñuble,16,511551,2020-05-06,7
Biobío,08,1663696,2020-05-06,15
Araucanía,09,1014343,2020-05-06,24
Los Ríos,14,405835,2020-05-06,4
Los Lagos,10,891440,2020-05-06,11
Aysén,11,107297,2020-05-06,0
Magallanes,12,178362,2020-05-06,19
Arica y Parinacota,15,252110,2020-05-07,8
Tarapacá,01,382773,2020-05-07,5
Antofagasta,02,691854,2020-05-07,28
Atacama,03,314709,2020-05-07,1
Coquimbo,04,836096,2020-05-07,0
Valparaíso,05,1960170,2020-05-07,15
Metropolitana,13,8125072,2020-05-07,348
O’Higgins,06,991063,2020-05-07,6
Maule,07,1131939,2020-05-07,4
Ñuble,16,511551,2020-05-07,7
Biobío,08,1663696,2020-05-07,14
Araucanía,09,1014343,2020-05-07,24
Los Ríos,14,405835,2020-05-07,4
Los Lagos,10,891440,2020-05-07,10
Aysén,11,107297,2020-05-07,0
Magallanes,12,178362,2020-05-07,19
Arica y Parinacota,15,252110,2020-05-08,7
Tarapacá,01,382773,2020-05-08,4
Antofagasta,02,691854,2020-05-08,29
Atacama,03,314709,2020-05-08,1
Coquimbo,04,836096,2020-05-08,0
Valparaíso,05,1960170,2020-05-08,18
Metropolitana,13,8125072,2020-05-08,366
O’Higgins,06,991063,2020-05-08,6
Maule,07,1131939,2020-05-08,4
Ñuble,16,511551,2020-05-08,7
Biobío,08,1663696,2020-05-08,16
Araucanía,09,1014343,2020-05-08,21
Los Ríos,14,405835,2020-05-08,4
Los Lagos,10,891440,2020-05-08,10
Aysén,11,107297,2020-05-08,0
Magallanes,12,178362,2020-05-08,15
Arica y Parinacota,15,252110,2020-05-09,7
Tarapacá,01,382773,2020-05-09,6
Antofagasta,02,691854,2020-05-09,30
Atacama,03,314709,2020-05-09,2
Coquimbo,04,836096,2020-05-09,0
Valparaíso,05,1960170,2020-05-09,19
Metropolitana,13,8125072,2020-05-09,394
O’Higgins,06,991063,2020-05-09,5
Maule,07,1131939,2020-05-09,4
Ñuble,16,511551,2020-05-09,8
Biobío,08,1663696,2020-05-09,18
Araucanía,09,1014343,2020-05-09,22
Los Ríos,14,405835,2020-05-09,3
Los Lagos,10,891440,2020-05-09,11
Aysén,11,107297,2020-05-09,0
Magallanes,12,178362,2020-05-09,15
Arica y Parinacota,15,252110,2020-05-10,7
Tarapacá,01,382773,2020-05-10,6
Antofagasta,02,691854,2020-05-10,31
Atacama,03,314709,2020-05-10,2
Coquimbo,04,836096,2020-05-10,0
Valparaíso,05,1960170,2020-05-10,18
Metropolitana,13,8125072,2020-05-10,415
O’Higgins,06,991063,2020-05-10,5
Maule,07,1131939,2020-05-10,4
Ñuble,16,511551,2020-05-10,8
Biobío,08,1663696,2020-05-10,19
Araucanía,09,1014343,2020-05-10,23
Los Ríos,14,405835,2020-05-10,2
Los Lagos,10,891440,2020-05-10,10
Aysén,11,107297,2020-05-10,0
Magallanes,12,178362,2020-05-10,15
Arica y Parinacota,15,252110,2020-05-11,7
Tarapacá,01,382773,2020-05-11,7
Antofagasta,02,691854,2020-05-11,32
Atacama,03,314709,2020-05-11,2
Coquimbo,04,836096,2020-05-11,0
Valparaíso,05,1960170,2020-05-11,19
Metropolitana,13,8125072,2020-05-11,421
O’Higgins,06,991063,2020-05-11,5
Maule,07,1131939,2020-05-11,5
Ñuble,16,511551,2020-05-11,8
Biobío,08,1663696,2020-05-11,18
Araucanía,09,1014343,2020-05-11,22
Los Ríos,14,405835,2020-05-11,2
Los Lagos,10,891440,2020-05-11,10
Aysén,11,107297,2020-05-11,0
Magallanes,12,178362,2020-05-11,16
Arica y Parinacota,15,252110,2020-05-12,7
Tarapacá,01,382773,2020-05-12,9
Antofagasta,02,691854,2020-05-12,32
Atacama,03,314709,2020-05-12,2
Coquimbo,04,836096,2020-05-12,0
Valparaíso,05,1960170,2020-05-12,21
Metropolitana,13,8125072,2020-05-12,450
O’Higgins,06,991063,2020-05-12,6
Maule,07,1131939,2020-05-12,6
Ñuble,16,511551,2020-05-12,7
Biobío,08,1663696,2020-05-12,17
Araucanía,09,1014343,2020-05-12,20
Los Ríos,14,405835,2020-05-12,1
Los Lagos,10,891440,2020-05-12,10
Aysén,11,107297,2020-05-12,0
Magallanes,12,178362,2020-05-12,16
