Año,Mes,Semana,Inicio_semana,Fin_semana,Cod_region_origen,Region_origen,Cod_region_destino,Region_destino,Origen,Destino,Operaciones,Pasajeros
2020,2,9,24-02-2020,01-03-2020,1,Tarapacá,4,Coquimbo,Iquique,La Serena,7,966
2020,2,9,24-02-2020,01-03-2020,1,Tarapacá,13,Metropolitana,Iquique,Santiago,116,17574
2020,2,9,24-02-2020,01-03-2020,5,Valparaíso,13,Metropolitana,Isla de Pascua,Santiago,10,2898
2020,2,9,24-02-2020,01-03-2020,4,Coquimbo,2,Antofagasta,La Serena,Antofagasta,14,2041
2020,2,9,24-02-2020,01-03-2020,4,Coquimbo,15,Arica y Parinacota,La Serena,Arica,3,430
2020,2,9,24-02-2020,01-03-2020,4,Coquimbo,2,Antofagasta,La Serena,Calama,9,1359
2020,2,9,24-02-2020,01-03-2020,4,Coquimbo,8,Biobío,La Serena,Concepción,4,474
2020,2,9,24-02-2020,01-03-2020,4,Coquimbo,1,Tarapacá,La Serena,Iquique,7,1029
2020,2,9,24-02-2020,01-03-2020,4,Coquimbo,13,Metropolitana,La Serena,Santiago,58,9022
2020,2,9,24-02-2020,01-03-2020,10,Los Lagos,13,Metropolitana,Castro,Santiago,4,669
2020,2,9,24-02-2020,01-03-2020,10,Los Lagos,13,Metropolitana,Osorno,Santiago,16,2478
2020,2,9,24-02-2020,01-03-2020,10,Los Lagos,2,Antofagasta,Puerto Montt,Antofagasta,2,308
2020,2,9,24-02-2020,01-03-2020,10,Los Lagos,11,Aysén,Puerto Montt,Balmaceda,20,2592
2020,2,9,24-02-2020,01-03-2020,10,Los Lagos,12,Magallanes,Puerto Montt,Punta Arenas,28,4266
2020,2,9,24-02-2020,01-03-2020,10,Los Lagos,13,Metropolitana,Puerto Montt,Santiago,122,20394
2020,2,9,24-02-2020,01-03-2020,12,Magallanes,11,Aysén,Punta Arenas,Balmaceda,2,103
2020,2,9,24-02-2020,01-03-2020,12,Magallanes,8,Biobío,Punta Arenas,Concepción,5,692
2020,2,9,24-02-2020,01-03-2020,12,Magallanes,12,Magallanes,Punta Arenas,Puerto Williams,7,531
2020,2,9,24-02-2020,01-03-2020,12,Magallanes,12,Magallanes,Punta Arenas,Antártica,7,228
2020,2,9,24-02-2020,01-03-2020,12,Magallanes,12,Magallanes,Punta Arenas,Porvenir,17,103
2020,2,9,24-02-2020,01-03-2020,12,Magallanes,10,Los Lagos,Punta Arenas,Puerto Montt,26,2914
2020,2,9,24-02-2020,01-03-2020,12,Magallanes,13,Metropolitana,Punta Arenas,Santiago,85,11273
2020,2,9,24-02-2020,01-03-2020,12,Magallanes,9,Araucanía,Punta Arenas,Temuco,2,233
2020,2,9,24-02-2020,01-03-2020,12,Magallanes,12,Magallanes,Punta Arenas,Bahia Inutil,1,7
2020,2,9,24-02-2020,01-03-2020,12,Magallanes,12,Magallanes,Punta Arenas,Puerto Natales,2,37
2020,2,9,24-02-2020,01-03-2020,13,Metropolitana,2,Antofagasta,Santiago,Antofagasta,108,17409
2020,2,9,24-02-2020,01-03-2020,13,Metropolitana,15,Arica y Parinacota,Santiago,Arica,63,9239
2020,2,9,24-02-2020,01-03-2020,13,Metropolitana,11,Aysén,Santiago,Balmaceda,33,4253
2020,2,9,24-02-2020,01-03-2020,13,Metropolitana,2,Antofagasta,Santiago,Calama,116,16836
2020,2,9,24-02-2020,01-03-2020,13,Metropolitana,8,Biobío,Santiago,Concepción,71,11194
2020,2,9,24-02-2020,01-03-2020,13,Metropolitana,3,Atacama,Santiago,Copiapó,40,5803
2020,2,9,24-02-2020,01-03-2020,13,Metropolitana,3,Atacama,Santiago,El Salvador,1,84
2020,2,9,24-02-2020,01-03-2020,13,Metropolitana,1,Tarapacá,Santiago,Iquique,113,16100
2020,2,9,24-02-2020,01-03-2020,13,Metropolitana,5,Valparaíso,Santiago,Isla de Pascua,10,2661
2020,2,9,24-02-2020,01-03-2020,13,Metropolitana,4,Coquimbo,Santiago,La Serena,59,8895
2020,2,9,24-02-2020,01-03-2020,13,Metropolitana,10,Los Lagos,Santiago,Castro,4,513
2020,2,9,24-02-2020,01-03-2020,13,Metropolitana,10,Los Lagos,Santiago,Osorno,16,2185
2020,2,9,24-02-2020,01-03-2020,13,Metropolitana,1,Tarapacá,Santiago,Pica,1,64
2020,2,9,24-02-2020,01-03-2020,13,Metropolitana,10,Los Lagos,Santiago,Puerto Montt,120,16391
2020,2,9,24-02-2020,01-03-2020,13,Metropolitana,12,Magallanes,Santiago,Punta Arenas,67,11275
2020,2,9,24-02-2020,01-03-2020,13,Metropolitana,9,Araucanía,Santiago,Temuco,77,10692
2020,2,9,24-02-2020,01-03-2020,13,Metropolitana,14,Los Ríos,Santiago,Valdivia,32,4172
2020,2,9,24-02-2020,01-03-2020,13,Metropolitana,12,Magallanes,Santiago,Puerto Natales,11,1759
2020,2,9,24-02-2020,01-03-2020,9,Araucanía,2,Antofagasta,Temuco,Antofagasta,2,292
2020,2,9,24-02-2020,01-03-2020,9,Araucanía,11,Aysén,Temuco,Balmaceda,3,374
2020,2,9,24-02-2020,01-03-2020,9,Araucanía,12,Magallanes,Temuco,Punta Arenas,2,338
2020,2,9,24-02-2020,01-03-2020,9,Araucanía,13,Metropolitana,Temuco,Santiago,77,12335
2020,2,9,24-02-2020,01-03-2020,14,Los Ríos,13,Metropolitana,Valdivia,Santiago,32,4568
2020,2,9,24-02-2020,01-03-2020,12,Magallanes,12,Magallanes,Puerto Natales,Punta Arenas,2,37
2020,2,9,24-02-2020,01-03-2020,12,Magallanes,13,Metropolitana,Puerto Natales,Santiago,11,1748
2020,3,9,24-02-2020,01-03-2020,2,Antofagasta,8,Biobío,Antofagasta,Concepción,1,113
2020,3,9,24-02-2020,01-03-2020,2,Antofagasta,4,Coquimbo,Antofagasta,La Serena,3,381
2020,3,9,24-02-2020,01-03-2020,2,Antofagasta,13,Metropolitana,Antofagasta,Santiago,15,2017
2020,3,9,24-02-2020,01-03-2020,15,Arica y Parinacota,4,Coquimbo,Arica,La Serena,1,132
2020,3,9,24-02-2020,01-03-2020,15,Arica y Parinacota,13,Metropolitana,Arica,Santiago,8,1392
2020,3,9,24-02-2020,01-03-2020,11,Aysén,10,Los Lagos,Balmaceda,Puerto Montt,2,336
2020,3,9,24-02-2020,01-03-2020,11,Aysén,13,Metropolitana,Balmaceda,Santiago,8,1023
2020,3,9,24-02-2020,01-03-2020,2,Antofagasta,4,Coquimbo,Calama,La Serena,1,112
2020,3,9,24-02-2020,01-03-2020,2,Antofagasta,13,Metropolitana,Calama,Santiago,17,2338
2020,3,9,24-02-2020,01-03-2020,8,Biobío,2,Antofagasta,Concepción,Antofagasta,2,310
2020,3,9,24-02-2020,01-03-2020,8,Biobío,2,Antofagasta,Concepción,Calama,1,135
2020,3,9,24-02-2020,01-03-2020,8,Biobío,1,Tarapacá,Concepción,Iquique,1,164
2020,3,9,24-02-2020,01-03-2020,8,Biobío,13,Metropolitana,Concepción,Santiago,10,1547
2020,3,9,24-02-2020,01-03-2020,3,Atacama,13,Metropolitana,Copiapó,Santiago,6,892
2020,3,9,24-02-2020,01-03-2020,1,Tarapacá,8,Biobío,Iquique,Concepción,1,133
2020,3,9,24-02-2020,01-03-2020,1,Tarapacá,4,Coquimbo,Iquique,La Serena,1,112
2020,3,9,24-02-2020,01-03-2020,1,Tarapacá,13,Metropolitana,Iquique,Santiago,14,2203
2020,3,9,24-02-2020,01-03-2020,5,Valparaíso,13,Metropolitana,Isla de Pascua,Santiago,2,524
2020,3,9,24-02-2020,01-03-2020,4,Coquimbo,2,Antofagasta,La Serena,Antofagasta,2,320
2020,3,9,24-02-2020,01-03-2020,4,Coquimbo,15,Arica y Parinacota,La Serena,Arica,1,161
2020,3,9,24-02-2020,01-03-2020,4,Coquimbo,2,Antofagasta,La Serena,Calama,1,161
2020,3,9,24-02-2020,01-03-2020,4,Coquimbo,1,Tarapacá,La Serena,Iquique,1,131
2020,3,9,24-02-2020,01-03-2020,4,Coquimbo,13,Metropolitana,La Serena,Santiago,11,1759
2020,3,9,24-02-2020,01-03-2020,10,Los Lagos,13,Metropolitana,Castro,Santiago,1,171
2020,3,9,24-02-2020,01-03-2020,10,Los Lagos,13,Metropolitana,Osorno,Santiago,3,489
2020,3,9,24-02-2020,01-03-2020,10,Los Lagos,11,Aysén,Puerto Montt,Balmaceda,2,238
2020,3,9,24-02-2020,01-03-2020,10,Los Lagos,12,Magallanes,Puerto Montt,Punta Arenas,3,471
2020,3,9,24-02-2020,01-03-2020,10,Los Lagos,13,Metropolitana,Puerto Montt,Santiago,18,3014
2020,3,9,24-02-2020,01-03-2020,12,Magallanes,10,Los Lagos,Punta Arenas,Puerto Montt,3,351
2020,3,9,24-02-2020,01-03-2020,12,Magallanes,13,Metropolitana,Punta Arenas,Santiago,11,1244
2020,3,9,24-02-2020,01-03-2020,12,Magallanes,9,Araucanía,Punta Arenas,Temuco,1,101
2020,3,9,24-02-2020,01-03-2020,12,Magallanes,12,Magallanes,Punta Arenas,Bahia Inutil,1,5
2020,3,9,24-02-2020,01-03-2020,13,Metropolitana,2,Antofagasta,Santiago,Antofagasta,15,2495
2020,3,9,24-02-2020,01-03-2020,13,Metropolitana,15,Arica y Parinacota,Santiago,Arica,12,1764
2020,3,9,24-02-2020,01-03-2020,13,Metropolitana,11,Aysén,Santiago,Balmaceda,7,864
2020,3,9,24-02-2020,01-03-2020,13,Metropolitana,2,Antofagasta,Santiago,Calama,17,2709
2020,3,9,24-02-2020,01-03-2020,13,Metropolitana,8,Biobío,Santiago,Concepción,11,1702
2020,3,9,24-02-2020,01-03-2020,13,Metropolitana,3,Atacama,Santiago,Copiapó,6,839
2020,3,9,24-02-2020,01-03-2020,13,Metropolitana,1,Tarapacá,Santiago,Iquique,16,2715
2020,3,9,24-02-2020,01-03-2020,13,Metropolitana,5,Valparaíso,Santiago,Isla de Pascua,2,527
2020,3,9,24-02-2020,01-03-2020,13,Metropolitana,4,Coquimbo,Santiago,La Serena,10,1351
2020,3,9,24-02-2020,01-03-2020,13,Metropolitana,10,Los Lagos,Santiago,Castro,1,144
2020,3,9,24-02-2020,01-03-2020,13,Metropolitana,10,Los Lagos,Santiago,Osorno,3,406
2020,3,9,24-02-2020,01-03-2020,13,Metropolitana,10,Los Lagos,Santiago,Puerto Montt,22,2946
2020,3,9,24-02-2020,01-03-2020,13,Metropolitana,12,Magallanes,Santiago,Punta Arenas,13,2143
2020,3,9,24-02-2020,01-03-2020,13,Metropolitana,9,Araucanía,Santiago,Temuco,16,2007
2020,3,9,24-02-2020,01-03-2020,13,Metropolitana,14,Los Ríos,Santiago,Valdivia,7,814
2020,3,9,24-02-2020,01-03-2020,13,Metropolitana,12,Magallanes,Santiago,Puerto Natales,3,493
2020,3,9,24-02-2020,01-03-2020,9,Araucanía,12,Magallanes,Temuco,Punta Arenas,1,153
2020,3,9,24-02-2020,01-03-2020,9,Araucanía,13,Metropolitana,Temuco,Santiago,16,2456
