Region,Codigo region,Comuna,Codigo comuna,Poblacion,SE9,SE10,SE11,SE12,SE13,SE14,SE15
O’Higgins,06,Coinco,06103,7831.0,-,-,-,-,-,-,-
O’Higgins,06,Coltauco,06104,21263.0,-,-,-,-,-,-,-
O’Higgins,06,Donihue,06105,22700.0,-,-,-,-,-,-,-
O’Higgins,06,Graneros,06106,36504.0,-,-,-,-,-,-,-
O’Higgins,06,La Estrella,06202,3114.0,-,-,-,-,-,-,-
O’Higgins,06,Las Cabras,06107,26749.0,-,-,-,-,-,-,-
O’Higgins,06,Litueche,06203,6765.0,-,-,-,-,-,-,-
O’Higgins,06,Lolol,06304,7289.0,-,-,-,-,-,-,-
O’Higgins,06,Machali,06108,59913.0,-,-,1,5,2,-,-
O’Higgins,06,Malloa,06109,14163.0,-,-,-,-,-,-,-
O’Higgins,06,Marchihue,06204,7632.0,-,-,-,-,-,-,-
O’Higgins,06,Mostazal,06110,27462.0,-,-,-,-,-,-,-
O’Higgins,06,Nancagua,06305,19141.0,-,-,-,-,-,-,-
O’Higgins,06,Navidad,06205,6904.0,-,-,-,-,-,-,-
O’Higgins,06,Olivar,06111,14624.0,-,-,-,-,3,2,1
O’Higgins,06,Palmilla,06306,13299.0,-,-,-,-,-,-,-
O’Higgins,06,Paredones,06206,6349.0,-,-,-,-,-,-,-
O’Higgins,06,Peralillo,06307,11848.0,-,-,-,-,-,-,-
O’Higgins,06,Peumo,06112,14952.0,-,-,-,-,1,-,-
O’Higgins,06,Pichidegua,06113,20743.0,-,-,-,-,-,-,-
O’Higgins,06,Pichilemu,06201,17882.0,-,-,-,-,-,-,-
O’Higgins,06,Placilla,06308,9164.0,-,-,-,-,1,-,-
O’Higgins,06,Pumanque,06309,3531.0,-,-,-,-,-,-,-
O’Higgins,06,Quinta de Tilcoco,06114,13877.0,-,-,-,1,2,-,-
O’Higgins,06,Rancagua,06101,265211.0,-,-,-,8,4,3,-
O’Higgins,06,Rengo,06115,63710.0,-,-,-,1,-,-,-
O’Higgins,06,Requinoa,06116,30371.0,-,-,-,1,-,-,-
O’Higgins,06,San Fernando,06301,78642.0,-,-,-,2,1,1,-
O’Higgins,06,San Vicente,06117,50617.0,-,-,-,-,3,1,-
O’Higgins,06,Santa Cruz,06310,41096.0,-,-,-,-,1,1,-
Maule,07,Cauquenes,07201,44143.0,-,-,-,-,2,2,-
Maule,07,Chanco,07202,9331.0,-,-,-,-,-,-,-
Maule,07,Colbun,07402,22565.0,-,-,-,-,3,2,-
Maule,07,Constitucion,07102,50348.0,-,-,-,-,4,1,-
Maule,07,Curepto,07103,9426.0,-,-,-,-,-,3,-
Maule,07,Curico,07301,163626.0,-,1,2,3,6,3,5
Maule,07,Empedrado,07104,4206.0,-,-,-,-,-,-,-
Maule,07,Hualane,07302,10222.0,-,-,-,-,-,-,-
Maule,07,Licanten,07303,6989.0,-,-,-,-,-,-,-
Maule,07,Linares,07401,101073.0,1,-,-,2,5,5,-
Maule,07,Longavi,07403,32810.0,-,-,-,1,-,1,-
Maule,07,Maule,07105,60000.0,-,-,-,1,1,1,1
Maule,07,Molina,07304,49800.0,-,-,-,1,2,-,-
Maule,07,Parral,07404,44544.0,-,-,-,1,3,1,1
Maule,07,Pelarco,07106,9083.0,-,-,-,-,-,-,3
Maule,07,Pelluhue,07203,8092.0,-,-,-,1,-,-,-
Maule,07,Pencahue,07107,8601.0,-,-,-,-,-,-,-
Maule,07,Rauco,07305,11248.0,-,-,-,-,1,1,-
Maule,07,Retiro,07405,21071.0,-,-,-,-,-,-,1
Maule,07,Rio Claro,07108,14753.0,-,-,-,1,-,1,1
Maule,07,Romeral,07306,16170.0,-,-,-,1,2,-,-
