Region,Codigo region,Comuna,Codigo comuna,Poblacion,Publicacion,SE7,SE8,SE9,SE10,SE11,SE12,SE13,SE14,SE15,SE16,SE17,SE18,SE19
Valparaíso,5.0,Cartagena,5603.0,25357.0,2020-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Valparaíso,5.0,Casablanca,5102.0,29170.0,2020-04-21,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Valparaíso,5.0,Catemu,5702.0,15213.0,2020-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Valparaíso,5.0,Concon,5103.0,45889.0,2020-04-21,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0
Valparaíso,5.0,El Quisco,5604.0,17742.0,2020-04-21,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,3.0,0.0,0.0,0.0
Valparaíso,5.0,El Tabo,5605.0,14338.0,2020-04-21,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0
Valparaíso,5.0,Hijuelas,5503.0,19099.0,2020-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Valparaíso,5.0,Isla de Pascua,5201.0,8277.0,2020-04-21,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
Valparaíso,5.0,Juan Fernandez,5104.0,1033.0,2020-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Valparaíso,5.0,La Cruz,5504.0,25321.0,2020-04-21,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0
Valparaíso,5.0,La Ligua,5401.0,37739.0,2020-04-21,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Valparaíso,5.0,Limache,5802.0,49931.0,2020-04-21,0.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,9.0,3.0,0.0,0.0,0.0
Valparaíso,5.0,Llaillay,5703.0,26533.0,2020-04-21,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Valparaíso,5.0,Los Andes,5301.0,68093.0,2020-04-21,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0
Valparaíso,5.0,Nogales,5506.0,23490.0,2020-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Valparaíso,5.0,Olmue,5803.0,19266.0,2020-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Valparaíso,5.0,Panquehue,5704.0,7633.0,2020-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Valparaíso,5.0,Papudo,5403.0,6201.0,2020-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Valparaíso,5.0,Petorca,5404.0,10558.0,2020-04-21,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
Valparaíso,5.0,Puchuncavi,5105.0,20071.0,2020-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Valparaíso,5.0,Putaendo,5705.0,17645.0,2020-04-21,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0
Valparaíso,5.0,Quillota,5501.0,97572.0,2020-04-21,0.0,0.0,0.0,1.0,0.0,2.0,8.0,3.0,5.0,1.0,0.0,0.0,0.0
Valparaíso,5.0,Quilpue,5801.0,167085.0,2020-04-21,0.0,0.0,0.0,1.0,2.0,2.0,8.0,8.0,4.0,2.0,0.0,0.0,0.0
Valparaíso,5.0,Quintero,5107.0,36135.0,2020-04-21,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Valparaíso,5.0,Rinconada,5303.0,11263.0,2020-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
