Region,Antofagasta,Antofagasta,Antofagasta,Antofagasta,Antofagasta,Antofagasta,Antofagasta,Arica y Parinacota,Arica y Parinacota,Arica y Parinacota,Atacama,Atacama,Atacama,Atacama,Atacama,Atacama,Atacama,Atacama,Atacama,Aysén del General Carlos Ibáñez del Campo,Aysén del General Carlos Ibáñez del Campo,Aysén del General Carlos Ibáñez del Campo,Aysén del General Carlos Ibáñez del Campo,Aysén del General Carlos Ibáñez del Campo,Aysén del General Carlos Ibáñez del Campo,Aysén del General Carlos Ibáñez del Campo,Aysén del General Carlos Ibáñez del Campo,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Biobío,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,Coquimbo,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,La Araucanía,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Libertador General Bernardo O'Higgins,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Lagos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Los Ríos,Magallanes y de la Antártica Chilena,Magallanes y de la Antártica Chilena,Magallanes y de la Antártica Chilena,Magallanes y de la Antártica Chilena,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Maule,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Metropolitana de Santiago,Tarapacá,Tarapacá,Tarapacá,Tarapacá,Tarapacá,Tarapacá,Tarapacá,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Valparaíso,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble,Ñuble
2020-01-24,6,1,0,0,0,0,0,9,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,1,0,3,0,1,1,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,2,0,0,3,0,1,1,0,0,1,0,0,2,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,3,1,0,1,0,11,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,1,0,0,12,1,0,0,0,1,1,0,3,0,1,0,0,0,0,1,0,0,0,0,1,4,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,4,0,0,0,10,2,0,0,2,0,4,0,0,0,3,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,5,0,0,0,0,0,2,0,1,0,0,2,0,0,1,3,0,14,0,0,6,0,1,2,0,6,0,0,0,3,5,0,1,0,0,0,3,0,0,7,1,5,2,1,1,4,3,0,0,3,0,4,4,3,0,1,4,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,4,0,0,4,0,5,0,5,4,7,0,0,4,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
2020-01-25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,2,0,1,0,9,0,0,2,0,0,0,0,2,0,0,1,0,6,0,0,0,0,0,0,3,0,3,2,0,4,0,1,3,5,1,1,2,0,4,7,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,19,0,2,4,2,0,2,1,3,1,1,3,0,4,0,0,1,0,1,0,2,0,7,0,0,1,2,0,0,4,2,1,4,0,3,8,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-27,9,5,0,0,0,0,1,10,0,0,0,0,2,7,0,1,0,0,1,0,0,0,0,3,0,0,0,1,1,3,1,0,1,15,0,2,2,1,2,0,2,1,0,12,0,1,0,0,3,0,0,2,0,1,1,7,0,2,1,1,1,0,1,15,4,0,12,0,0,8,0,0,0,0,0,3,1,0,1,1,0,1,0,1,0,0,2,2,0,0,0,0,1,1,0,2,1,0,0,0,11,0,0,1,3,2,1,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,2,1,0,0,1,6,3,0,8,3,4,2,0,7,0,0,0,0,0,2,0,0,1,0,0,0,10,0,10,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,3,0,0,2,0,13,0,1,0,1,0,0,1,0,1,6,0,1,0,12,1,1,1,1,2,1,0,0,1,0,0,0,1,2,0,14,2,1,0,1,0,3,0,1,1,0,0,0,1,0,4,1,27,1,0,13,1,2,2,0,8,0,0,3,0,8,0,6,0,0,2,6,3,0,5,1,9,1,2,4,4,7,4,0,6,0,5,5,2,2,4,5,2,0,0,0,11,0,0,0,1,1,0,2,0,0,1,0,1,0,0,0,2,1,1,10,1,0,0,1,1,1,1,3,5,0,0,9,1,4,0,16,6,17,0,2,10,0,0,1,0,0,0,0,2,0,0,3,0,6,0,1,0,0,0,1
2020-01-28,5,0,0,0,0,0,0,3,0,0,0,0,1,6,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,11,0,2,0,0,1,0,0,0,0,10,0,0,0,0,0,0,0,1,0,0,0,4,0,2,1,1,0,0,0,5,2,1,6,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,10,0,2,2,0,0,1,1,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12,0,1,3,0,2,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,4,0,6,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,7,0,0,0,5,1,0,0,1,0,5,0,0,1,2,1,0,1,2,0,0,0,1,0,0,0,1,0,1,0,7,0,0,0,1,1,1,0,0,1,0,2,1,2,0,3,1,24,0,0,5,1,0,3,1,8,1,0,2,0,10,0,1,0,2,2,3,4,1,10,1,8,0,1,3,0,4,2,0,3,0,2,5,2,0,1,3,0,0,0,0,2,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,2,0,0,2,0,3,0,11,5,12,0,1,9,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0
2020-01-29,9,2,0,0,0,0,1,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,3,7,0,2,1,0,0,0,1,0,0,7,1,0,1,0,2,0,0,2,0,0,0,2,0,2,0,0,0,2,0,5,0,0,2,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,5,0,1,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,8,0,0,3,0,0,1,1,3,0,0,0,0,0,0,1,0,0,0,0,0,5,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,9,0,0,0,0,2,1,0,0,1,3,0,0,0,4,0,0,0,2,0,0,0,1,1,1,0,0,0,2,0,9,0,0,0,0,0,2,0,3,1,0,1,0,0,0,3,1,16,0,2,6,0,0,5,0,3,0,0,0,0,5,0,1,0,0,1,0,7,0,10,1,8,2,1,6,0,3,1,2,8,0,3,9,0,0,0,1,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,6,2,1,2,0,4,0,8,2,2,0,0,4,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
2020-01-30,5,0,0,0,0,0,0,6,0,0,0,1,0,3,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,1,3,9,0,0,1,0,0,0,0,0,0,4,0,1,1,0,0,1,0,0,0,1,0,3,0,0,0,1,0,0,0,6,1,0,4,0,0,2,0,0,0,0,0,4,0,0,1,0,1,0,0,0,0,0,1,1,0,1,1,0,0,2,0,0,0,1,0,0,7,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,2,0,3,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,4,0,1,0,4,1,0,0,0,0,3,1,0,0,0,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,2,0,0,2,1,1,0,1,2,2,0,8,0,0,3,1,2,0,1,7,0,1,1,0,2,0,1,0,0,1,1,4,0,10,1,4,0,1,3,1,2,2,1,4,0,3,10,2,1,2,3,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,1,0,0,0,1,1,5,0,1,2,0,1,0,5,3,8,0,0,5,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2020-01-31,3,5,0,1,0,0,1,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,1,1,0,14,0,0,1,0,0,0,0,0,0,3,0,0,0,0,1,0,0,2,0,1,0,6,0,0,0,0,1,0,0,4,0,0,2,0,1,1,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,2,0,1,1,0,0,0,1,1,0,2,0,0,0,0,9,1,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,1,0,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,6,0,0,0,1,2,0,0,1,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,1,0,1,0,0,3,0,1,0,0,0,0,1,31,1,3,6,0,1,0,0,6,1,2,0,2,5,0,5,1,1,0,0,3,0,4,1,7,1,2,2,2,9,2,1,5,0,3,3,3,0,3,8,0,0,0,0,4,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,2,4,0,4,0,1,1,7,1,8,0,1,5,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
2020-02-01,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,7,0,0,8,2,0,2,1,4,0,1,1,3,2,0,0,0,2,0,0,3,1,7,2,1,1,1,3,2,5,0,0,5,0,4,4,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-02,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,10,0,1,4,1,1,0,1,4,0,0,1,1,2,0,0,0,1,1,0,0,0,8,0,3,0,3,1,1,0,2,2,3,0,1,7,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-03,16,0,0,0,0,0,0,8,0,0,0,1,0,6,1,0,1,1,0,0,0,0,0,5,0,0,0,0,0,3,2,1,0,25,0,3,3,0,3,0,1,1,3,8,1,1,2,0,3,0,0,2,0,0,2,11,0,3,1,1,1,0,0,10,4,0,10,0,0,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,2,0,0,0,0,0,1,16,0,1,1,3,2,0,1,0,0,0,0,1,3,0,1,0,0,1,0,0,3,0,0,0,0,0,1,0,1,1,0,1,23,1,0,7,1,7,2,0,1,0,0,0,0,0,1,0,0,0,1,0,0,11,0,5,0,1,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,2,0,0,0,1,10,0,1,0,6,1,0,0,1,0,7,1,0,0,6,2,0,1,5,0,0,0,0,0,0,0,0,4,2,0,4,0,0,1,1,1,1,0,0,1,1,0,1,3,0,2,0,18,0,1,4,3,1,1,1,5,1,0,0,2,6,0,8,1,0,1,0,1,0,14,1,8,2,1,4,2,2,0,1,7,0,3,14,2,0,3,2,2,0,0,0,8,0,0,0,0,3,0,0,0,0,1,0,0,0,1,0,0,1,0,5,0,1,0,0,0,1,1,7,4,1,0,8,0,8,1,19,3,17,0,0,10,0,0,0,1,0,0,0,0,0,2,0,0,3,0,2,1,0,0,1
2020-02-04,9,4,0,0,0,0,1,4,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,12,1,3,0,1,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,3,0,0,3,0,0,5,1,1,0,1,0,1,1,1,0,1,1,0,0,0,0,1,3,0,0,0,0,0,0,2,0,0,0,1,0,1,9,0,2,2,0,0,0,1,0,1,1,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,2,1,5,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,0,9,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,1,0,0,1,0,5,0,0,0,4,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,3,1,0,2,0,0,0,2,0,20,0,1,4,2,0,0,2,2,1,1,3,1,5,0,2,0,0,3,0,3,0,2,0,5,1,3,3,1,2,1,0,6,0,2,7,0,0,0,6,0,0,0,0,6,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,5,8,0,0,0,0,1,0,2,1,12,0,0,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2020-02-05,9,2,0,0,0,0,0,9,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,3,0,0,1,0,1,1,0,0,1,2,2,1,1,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,1,5,0,0,6,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,4,1,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,6,0,7,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,0,3,0,1,0,0,1,0,0,2,0,5,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,3,0,0,3,0,2,0,1,0,2,0,12,1,1,2,1,1,1,0,3,0,2,1,0,10,0,3,0,2,2,0,2,0,7,2,3,2,1,4,1,6,0,1,4,0,2,11,5,0,3,3,2,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,4,2,1,0,2,0,3,0,3,1,7,0,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2020-02-06,5,3,0,0,0,0,1,4,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,1,1,1,0,13,0,0,1,0,1,0,1,0,0,3,1,0,1,0,0,0,0,1,0,0,0,3,0,0,2,0,0,0,1,4,0,0,2,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,9,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,7,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,5,0,0,0,0,1,0,0,0,0,3,1,1,0,0,1,0,1,0,0,0,1,0,1,3,0,0,0,2,2,1,0,0,0,4,0,0,0,2,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,7,0,0,0,0,0,1,0,0,1,0,0,0,1,0,5,0,19,0,0,5,1,2,1,0,3,0,1,3,0,4,0,2,0,0,2,2,0,0,6,1,7,0,3,2,1,3,1,0,7,0,2,9,1,1,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,5,2,0,0,2,0,0,0,10,3,9,0,1,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2020-02-07,8,1,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,8,0,0,0,1,0,0,0,0,0,7,1,0,0,0,1,0,0,0,0,1,0,1,0,0,2,1,1,0,0,5,0,0,5,0,0,2,0,0,0,1,0,3,2,2,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,3,0,1,1,1,0,0,8,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,9,2,0,0,1,1,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,3,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,7,1,0,0,1,0,2,0,0,0,3,1,0,0,1,1,0,1,1,1,0,0,0,1,0,0,6,1,0,0,0,0,1,0,1,1,3,0,0,2,0,0,0,12,0,0,4,2,0,1,0,6,1,0,1,1,2,0,4,1,0,0,1,1,1,7,0,7,0,2,4,0,3,0,0,4,0,7,6,3,0,1,5,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,1,0,3,2,1,0,5,0,4,0,14,2,9,1,0,4,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2020-02-08,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,1,0,2,0,9,0,1,6,1,1,1,0,3,0,1,1,1,5,0,0,0,0,1,1,6,1,6,5,2,2,1,0,0,2,1,0,4,0,1,10,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
