Codigo region,Codigo comuna,Poblacion,Casos Confirmados,Fecha,Region ID,Region,Provincia ID,Provincia,Comuna ID,Comuna,Tasa
2,2302.0,6814,-,2020/04/01,2,Antofagasta,23,Tocopilla,2302,María Elena,-
2,2302.0,6814,-,2020/04/10,2,Antofagasta,23,Tocopilla,2302,María Elena,-
2,2302.0,6814,-,2020/04/08,2,Antofagasta,23,Tocopilla,2302,María Elena,-
2,2302.0,6814,-,2020/04/03,2,Antofagasta,23,Tocopilla,2302,María Elena,-
2,2302.0,6814,-,2020/04/06,2,Antofagasta,23,Tocopilla,2302,María Elena,-
2,2302.0,6814,-,2020/03/30,2,Antofagasta,23,Tocopilla,2302,María Elena,-
2,2102.0,14776,-,2020/04/01,2,Antofagasta,21,Antofagasta,2102,Mejillones,-
2,2102.0,14776,6,2020/04/10,2,Antofagasta,21,Antofagasta,2102,Mejillones,40.60638873849486
2,2102.0,14776,-,2020/04/08,2,Antofagasta,21,Antofagasta,2102,Mejillones,-
2,2102.0,14776,-,2020/04/03,2,Antofagasta,21,Antofagasta,2102,Mejillones,-
2,2102.0,14776,-,2020/04/06,2,Antofagasta,21,Antofagasta,2102,Mejillones,-
2,2102.0,14776,-,2020/03/30,2,Antofagasta,21,Antofagasta,2102,Mejillones,-
2,2202.0,287,-,2020/04/01,2,Antofagasta,22,El Loa,2202,Ollagüe,-
2,2202.0,287,-,2020/04/10,2,Antofagasta,22,El Loa,2202,Ollagüe,-
2,2202.0,287,-,2020/04/08,2,Antofagasta,22,El Loa,2202,Ollagüe,-
2,2202.0,287,-,2020/04/03,2,Antofagasta,22,El Loa,2202,Ollagüe,-
2,2202.0,287,-,2020/04/06,2,Antofagasta,22,El Loa,2202,Ollagüe,-
2,2202.0,287,-,2020/03/30,2,Antofagasta,22,El Loa,2202,Ollagüe,-
2,2203.0,10434,-,2020/04/01,2,Antofagasta,22,El Loa,2203,San Pedro de Atacama,-
2,2203.0,10434,4,2020/04/10,2,Antofagasta,22,El Loa,2203,San Pedro de Atacama,38.336208548974504
2,2203.0,10434,4,2020/04/08,2,Antofagasta,22,El Loa,2203,San Pedro de Atacama,38.336208548974504
2,2203.0,10434,-,2020/04/03,2,Antofagasta,22,El Loa,2203,San Pedro de Atacama,-
2,2203.0,10434,4,2020/04/06,2,Antofagasta,22,El Loa,2203,San Pedro de Atacama,38.336208548974504
