Poblacion,Casos Confirmados,Fecha,Region ID,Region,Provincia ID,Provincia,Comuna ID,Comuna,Tasa
13657,-,2020/04/10,2,Antofagasta,21,Antofagasta,2104,Taltal,-
13657,-,2020/04/08,2,Antofagasta,21,Antofagasta,2104,Taltal,-
13657,-,2020/04/03,2,Antofagasta,21,Antofagasta,2104,Taltal,-
13657,-,2020/04/06,2,Antofagasta,21,Antofagasta,2104,Taltal,-
13657,-,2020/03/30,2,Antofagasta,21,Antofagasta,2104,Taltal,-
28079,-,2020/04/01,2,Antofagasta,23,Tocopilla,2301,Tocopilla,-
28079,-,2020/04/10,2,Antofagasta,23,Tocopilla,2301,Tocopilla,-
28079,-,2020/04/08,2,Antofagasta,23,Tocopilla,2301,Tocopilla,-
28079,-,2020/04/03,2,Antofagasta,23,Tocopilla,2301,Tocopilla,-
28079,-,2020/04/06,2,Antofagasta,23,Tocopilla,2301,Tocopilla,-
28079,-,2020/03/30,2,Antofagasta,23,Tocopilla,2301,Tocopilla,-
5729,-,2020/04/01,3,Atacama,33,Huasco,3302,Alto del Carmen,-
5729,-,2020/04/10,3,Atacama,33,Huasco,3302,Alto del Carmen,-
5729,-,2020/04/08,3,Atacama,33,Huasco,3302,Alto del Carmen,-
5729,-,2020/04/03,3,Atacama,33,Huasco,3302,Alto del Carmen,-
5729,-,2020/04/06,3,Atacama,33,Huasco,3302,Alto del Carmen,-
5729,-,2020/03/30,3,Atacama,33,Huasco,3302,Alto del Carmen,-
19426,-,2020/04/01,3,Atacama,31,Copiapó,3102,Caldera,-
19426,-,2020/04/10,3,Atacama,31,Copiapó,3102,Caldera,-
19426,-,2020/04/08,3,Atacama,31,Copiapó,3102,Caldera,-
19426,-,2020/04/03,3,Atacama,31,Copiapó,3102,Caldera,-
19426,-,2020/04/06,3,Atacama,31,Copiapó,3102,Caldera,-
19426,-,2020/03/30,3,Atacama,31,Copiapó,3102,Caldera,-
13164,-,2020/04/01,3,Atacama,32,Chañaral,3201,Chañaral,-
13164,-,2020/04/10,3,Atacama,32,Chañaral,3201,Chañaral,-
13164,-,2020/04/08,3,Atacama,32,Chañaral,3201,Chañaral,-
13164,-,2020/04/03,3,Atacama,32,Chañaral,3201,Chañaral,-
13164,-,2020/04/06,3,Atacama,32,Chañaral,3201,Chañaral,-
13164,-,2020/03/30,3,Atacama,32,Chañaral,3201,Chañaral,-
171766,-,2020/04/01,3,Atacama,31,Copiapó,3101,Copiapó,-
171766,8,2020/04/10,3,Atacama,31,Copiapó,3101,Copiapó,4.657499155828278
171766,5,2020/04/08,3,Atacama,31,Copiapó,3101,Copiapó,2.910936972392674
171766,4,2020/04/03,3,Atacama,31,Copiapó,3101,Copiapó,2.328749577914139
171766,4,2020/04/06,3,Atacama,31,Copiapó,3101,Copiapó,2.328749577914139
171766,-,2020/03/30,3,Atacama,31,Copiapó,3101,Copiapó,-
14358,-,2020/04/01,3,Atacama,32,Chañaral,3202,Diego de Almagro,-
14358,-,2020/04/10,3,Atacama,32,Chañaral,3202,Diego de Almagro,-
14358,-,2020/04/08,3,Atacama,32,Chañaral,3202,Diego de Almagro,-
