Region,Codigo region,Comuna,Codigo comuna,Poblacion,Fecha,Casos activos
Del Libertador General Bernardo O’Higgins,06,Pichilemu,06201,17882.0,2020-04-13,0.0
Del Libertador General Bernardo O’Higgins,06,Placilla,06308,9164.0,2020-04-13,0.0
Del Libertador General Bernardo O’Higgins,06,Pumanque,06309,3531.0,2020-04-13,0.0
Del Libertador General Bernardo O’Higgins,06,Quinta de Tilcoco,06114,13877.0,2020-04-13,0.0
Del Libertador General Bernardo O’Higgins,06,Rancagua,06101,265211.0,2020-04-13,3.0
Del Libertador General Bernardo O’Higgins,06,Rengo,06115,63710.0,2020-04-13,0.0
Del Libertador General Bernardo O’Higgins,06,Requinoa,06116,30371.0,2020-04-13,0.0
Del Libertador General Bernardo O’Higgins,06,San Fernando,06301,78642.0,2020-04-13,1.0
Del Libertador General Bernardo O’Higgins,06,San Vicente,06117,50617.0,2020-04-13,1.0
Del Libertador General Bernardo O’Higgins,06,Santa Cruz,06310,41096.0,2020-04-13,1.0
Del Libertador General Bernardo O’Higgins,06,Total,,991063.0,2020-04-13,9.0
Maule,07,Cauquenes,07201,44143.0,2020-04-13,2.0
Maule,07,Chanco,07202,9331.0,2020-04-13,0.0
Maule,07,Colbun,07402,22565.0,2020-04-13,2.0
Maule,07,Constitucion,07102,50348.0,2020-04-13,1.0
Maule,07,Curepto,07103,9426.0,2020-04-13,3.0
Maule,07,Curico,07301,163626.0,2020-04-13,8.0
Maule,07,Empedrado,07104,4206.0,2020-04-13,0.0
Maule,07,Hualane,07302,10222.0,2020-04-13,0.0
Maule,07,Licanten,07303,6989.0,2020-04-13,0.0
Maule,07,Linares,07401,101073.0,2020-04-13,5.0
Maule,07,Longavi,07403,32810.0,2020-04-13,0.0
Maule,07,Maule,07105,60000.0,2020-04-13,2.0
Maule,07,Molina,07304,49800.0,2020-04-13,0.0
Maule,07,Parral,07404,44544.0,2020-04-13,2.0
Maule,07,Pelarco,07106,9083.0,2020-04-13,3.0
Maule,07,Pelluhue,07203,8092.0,2020-04-13,0.0
Maule,07,Pencahue,07107,8601.0,2020-04-13,0.0
Maule,07,Rauco,07305,11248.0,2020-04-13,1.0
Maule,07,Retiro,07405,21071.0,2020-04-13,1.0
Maule,07,Rio Claro,07108,14753.0,2020-04-13,2.0
Maule,07,Romeral,07306,16170.0,2020-04-13,0.0
Maule,07,Sagrada Familia,07307,19469.0,2020-04-13,1.0
Maule,07,San Clemente,07109,46292.0,2020-04-13,0.0
Maule,07,San Javier,07406,49451.0,2020-04-13,6.0
Maule,07,San Rafael,07110,9959.0,2020-04-13,1.0
Maule,07,Talca,07101,236724.0,2020-04-13,7.0
Maule,07,Teno,07308,30850.0,2020-04-13,1.0
Maule,07,Vichuquen,07309,4381.0,2020-04-13,0.0
Maule,07,Villa Alegre,07407,17512.0,2020-04-13,0.0
Maule,07,Yerbas Buenas,07408,19200.0,2020-04-13,0.0
Maule,07,Total,,1131939.0,2020-04-13,48.0
Nuble,16,Bulnes,16102,22607.0,2020-04-13,13.0
Nuble,16,Chillan,16101,198624.0,2020-04-13,79.0
Nuble,16,Chillan Viejo,16103,33827.0,2020-04-13,13.0
Nuble,16,Cobquecura,16202,5275.0,2020-04-13,0.0
Nuble,16,Coelemu,16203,16845.0,2020-04-13,2.0
Nuble,16,Coihueco,16302,28375.0,2020-04-13,6.0
Nuble,16,El Carmen,16104,12334.0,2020-04-13,1.0
Nuble,16,Ninhue,16204,5414.0,2020-04-13,2.0
Nuble,16,Niquen,16303,11567.0,2020-04-13,2.0
Nuble,16,Pemuco,16105,8639.0,2020-04-13,3.0
Nuble,16,Pinto,16106,11880.0,2020-04-13,5.0
Nuble,16,Portezuelo,16205,4940.0,2020-04-13,1.0
Nuble,16,Quillon,16107,18777.0,2020-04-13,5.0
Nuble,16,Quirihue,16201,12192.0,2020-04-13,2.0
Nuble,16,Ranquil,16206,6261.0,2020-04-13,5.0
Nuble,16,San Carlos,16301,56252.0,2020-04-13,12.0
Nuble,16,San Fabian,16304,4654.0,2020-04-13,1.0
Nuble,16,San Ignacio,16108,16624.0,2020-04-13,1.0
