,Fecha,Origen,Destino,Viajes
230,2020-03-01,Independencia,Quinta Normal,145
231,2020-03-01,Independencia,Recoleta,864
232,2020-03-01,Independencia,Renca,460
233,2020-03-01,Independencia,San Bernardo,110
234,2020-03-01,Independencia,San Joaquin,100
235,2020-03-01,Independencia,San Miguel,322
236,2020-03-01,Independencia,San Ramon,28
237,2020-03-01,Independencia,Santiago,4728
238,2020-03-01,Independencia,Vitacura,137
239,2020-03-01,La Cisterna,Cerrillos,184
240,2020-03-01,La Cisterna,Cerro Navia,44
241,2020-03-01,La Cisterna,Conchali,215
242,2020-03-01,La Cisterna,El Bosque,1076
243,2020-03-01,La Cisterna,Estacion Central,1357
244,2020-03-01,La Cisterna,Huechuraba,86
245,2020-03-01,La Cisterna,Independencia,291
246,2020-03-01,La Cisterna,La Cisterna,4061
247,2020-03-01,La Cisterna,La Florida,2074
248,2020-03-01,La Cisterna,La Granja,261
249,2020-03-01,La Cisterna,La Pintana,580
250,2020-03-01,La Cisterna,La Reina,329
251,2020-03-01,La Cisterna,Las Condes,785
252,2020-03-01,La Cisterna,Lo Barnechea,56
253,2020-03-01,La Cisterna,Lo Espejo,529
254,2020-03-01,La Cisterna,Lo Prado,447
255,2020-03-01,La Cisterna,Macul,124
256,2020-03-01,La Cisterna,Maipu,271
257,2020-03-01,La Cisterna,Nunoa,532
258,2020-03-01,La Cisterna,Pedro Aguirre Cerda,625
259,2020-03-01,La Cisterna,Penalolen,344
260,2020-03-01,La Cisterna,Providencia,1201
261,2020-03-01,La Cisterna,Pudahuel,229
262,2020-03-01,La Cisterna,Puente Alto,579
263,2020-03-01,La Cisterna,Quilicura,188
264,2020-03-01,La Cisterna,Quinta Normal,133
265,2020-03-01,La Cisterna,Recoleta,1115
266,2020-03-01,La Cisterna,Renca,40
267,2020-03-01,La Cisterna,San Bernardo,405
268,2020-03-01,La Cisterna,San Joaquin,156
269,2020-03-01,La Cisterna,San Miguel,2126
270,2020-03-01,La Cisterna,San Ramon,1041
271,2020-03-01,La Cisterna,Santiago,5325
272,2020-03-01,La Cisterna,Vitacura,59
273,2020-03-01,La Florida,Cerrillos,197
274,2020-03-01,La Florida,Cerro Navia,111
275,2020-03-01,La Florida,Conchali,269
276,2020-03-01,La Florida,El Bosque,293
277,2020-03-01,La Florida,Estacion Central,1426
278,2020-03-01,La Florida,Huechuraba,60
279,2020-03-01,La Florida,Independencia,443
280,2020-03-01,La Florida,La Cisterna,1822
281,2020-03-01,La Florida,La Florida,20762
282,2020-03-01,La Florida,La Granja,1603
283,2020-03-01,La Florida,La Pintana,399
284,2020-03-01,La Florida,La Reina,1294
285,2020-03-01,La Florida,Las Condes,2061
286,2020-03-01,La Florida,Lo Barnechea,151
287,2020-03-01,La Florida,Lo Espejo,137
288,2020-03-01,La Florida,Lo Prado,741
289,2020-03-01,La Florida,Macul,2857
290,2020-03-01,La Florida,Maipu,382
291,2020-03-01,La Florida,Nunoa,2097
292,2020-03-01,La Florida,Pedro Aguirre Cerda,291
293,2020-03-01,La Florida,Penalolen,1991
294,2020-03-01,La Florida,Providencia,4170
295,2020-03-01,La Florida,Pudahuel,576
296,2020-03-01,La Florida,Puente Alto,6801
297,2020-03-01,La Florida,Quilicura,296
298,2020-03-01,La Florida,Quinta Normal,433
299,2020-03-01,La Florida,Recoleta,790
300,2020-03-01,La Florida,Renca,91
301,2020-03-01,La Florida,San Bernardo,213
302,2020-03-01,La Florida,San Joaquin,1358
303,2020-03-01,La Florida,San Miguel,768
304,2020-03-01,La Florida,San Ramon,1301
305,2020-03-01,La Florida,Santiago,6867
306,2020-03-01,La Florida,Vitacura,199
307,2020-03-01,La Granja,Cerrillos,54
308,2020-03-01,La Granja,Cerro Navia,21
309,2020-03-01,La Granja,Conchali,47
310,2020-03-01,La Granja,El Bosque,96
311,2020-03-01,La Granja,Estacion Central,248
312,2020-03-01,La Granja,Huechuraba,23
313,2020-03-01,La Granja,Independencia,27
314,2020-03-01,La Granja,La Cisterna,424
315,2020-03-01,La Granja,La Florida,1632
316,2020-03-01,La Granja,La Granja,971
317,2020-03-01,La Granja,La Pintana,93
318,2020-03-01,La Granja,La Reina,171
319,2020-03-01,La Granja,Las Condes,329
320,2020-03-01,La Granja,Lo Barnechea,66
321,2020-03-01,La Granja,Lo Espejo,40
322,2020-03-01,La Granja,Lo Prado,82
323,2020-03-01,La Granja,Macul,79
324,2020-03-01,La Granja,Maipu,86
325,2020-03-01,La Granja,Nunoa,151
326,2020-03-01,La Granja,Pedro Aguirre Cerda,57
327,2020-03-01,La Granja,Penalolen,121
328,2020-03-01,La Granja,Providencia,344
329,2020-03-01,La Granja,Pudahuel,37
330,2020-03-01,La Granja,Puente Alto,403
331,2020-03-01,La Granja,Quilicura,60
332,2020-03-01,La Granja,Quinta Normal,46
333,2020-03-01,La Granja,Recoleta,165
334,2020-03-01,La Granja,Renca,3
335,2020-03-01,La Granja,San Bernardo,102
336,2020-03-01,La Granja,San Joaquin,269
337,2020-03-01,La Granja,San Miguel,152
338,2020-03-01,La Granja,San Ramon,312
339,2020-03-01,La Granja,Santiago,1198
340,2020-03-01,La Granja,Vitacura,61
341,2020-03-01,La Pintana,Cerrillos,41
342,2020-03-01,La Pintana,Cerro Navia,32
343,2020-03-01,La Pintana,Conchali,15
344,2020-03-01,La Pintana,El Bosque,584
345,2020-03-01,La Pintana,Estacion Central,396
346,2020-03-01,La Pintana,Huechuraba,44
347,2020-03-01,La Pintana,Independencia,48
348,2020-03-01,La Pintana,La Cisterna,891
349,2020-03-01,La Pintana,La Florida,1057
350,2020-03-01,La Pintana,La Granja,407
351,2020-03-01,La Pintana,La Pintana,1386
352,2020-03-01,La Pintana,La Reina,215
353,2020-03-01,La Pintana,Las Condes,413
354,2020-03-01,La Pintana,Lo Barnechea,36
355,2020-03-01,La Pintana,Lo Espejo,71
356,2020-03-01,La Pintana,Lo Prado,67
357,2020-03-01,La Pintana,Macul,88
358,2020-03-01,La Pintana,Maipu,90
359,2020-03-01,La Pintana,Nunoa,169
360,2020-03-01,La Pintana,Pedro Aguirre Cerda,92
361,2020-03-01,La Pintana,Penalolen,135
362,2020-03-01,La Pintana,Providencia,397
363,2020-03-01,La Pintana,Pudahuel,48
364,2020-03-01,La Pintana,Puente Alto,613
365,2020-03-01,La Pintana,Quilicura,66
366,2020-03-01,La Pintana,Quinta Normal,30
367,2020-03-01,La Pintana,Recoleta,232
368,2020-03-01,La Pintana,Renca,22
369,2020-03-01,La Pintana,San Bernardo,190
370,2020-03-01,La Pintana,San Joaquin,150
371,2020-03-01,La Pintana,San Miguel,216
372,2020-03-01,La Pintana,San Ramon,184
373,2020-03-01,La Pintana,Santiago,1164
374,2020-03-01,La Pintana,Vitacura,112
375,2020-03-01,La Reina,Cerrillos,98
376,2020-03-01,La Reina,Cerro Navia,41
377,2020-03-01,La Reina,Conchali,196
378,2020-03-01,La Reina,El Bosque,46
379,2020-03-01,La Reina,Estacion Central,646
380,2020-03-01,La Reina,Huechuraba,61
381,2020-03-01,La Reina,Independencia,336
382,2020-03-01,La Reina,La Cisterna,249
383,2020-03-01,La Reina,La Florida,975
384,2020-03-01,La Reina,La Granja,50
385,2020-03-01,La Reina,La Pintana,55
386,2020-03-01,La Reina,La Reina,1986
387,2020-03-01,La Reina,Las Condes,1160
388,2020-03-01,La Reina,Lo Barnechea,56
389,2020-03-01,La Reina,Lo Espejo,37
390,2020-03-01,La Reina,Lo Prado,375
391,2020-03-01,La Reina,Macul,215
392,2020-03-01,La Reina,Maipu,161
393,2020-03-01,La Reina,Nunoa,3865
394,2020-03-01,La Reina,Pedro Aguirre Cerda,111
395,2020-03-01,La Reina,Penalolen,1120
396,2020-03-01,La Reina,Providencia,1415
397,2020-03-01,La Reina,Pudahuel,116
398,2020-03-01,La Reina,Puente Alto,993
399,2020-03-01,La Reina,Quilicura,194
400,2020-03-01,La Reina,Quinta Normal,134
401,2020-03-01,La Reina,Recoleta,219
402,2020-03-01,La Reina,Renca,33
403,2020-03-01,La Reina,San Bernardo,63
404,2020-03-01,La Reina,San Joaquin,100
405,2020-03-01,La Reina,San Miguel,271
406,2020-03-01,La Reina,San Ramon,118
407,2020-03-01,La Reina,Santiago,2935
408,2020-03-01,La Reina,Vitacura,64
