Region,Codigo region,Comuna,Codigo comuna,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12
Biobío,8,Antuco,8302,6,6,5,6,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,5,5,5,4,5,5,5,5,5,5,5,6,6,6,6,5,5,5,5,6,5,5,5
Biobío,8,Arauco,8202,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,0,0,0
Biobío,8,Cabrero,8303,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,1,1,2,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
Biobío,8,Cañete,8203,2,2,2,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Biobío,8,Chiguayante,8103,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,1,1,1,0,0,0
Biobío,8,Concepción,8101,4,4,4,4,3,4,4,4,4,4,3,2,4,4,4,4,4,3,2,3,3,3,2,2,1,1,2,2,2,1,2,1,1,2,2,2,2,2,1,1,2,2,2,2,1,1,1
Biobío,8,Contulmo,8204,5,5,5,7,6,4,4,3,4,4,4,4,3,3,3,3,3,3,4,3,3,3,3,3,3,2,2,3,3,3,3,2,2,3,2,3,3,3,2,2,2,2,3,2,2,2,2
Biobío,8,Coronel,8102,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biobío,8,Curanilahue,8205,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,0,0,0
Biobío,8,Florida,8104,6,6,7,7,7,5,5,5,5,6,6,6,4,5,5,5,6,6,6,5,4,4,4,4,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,4,3,3,3,2,2,2
Biobío,8,Hualpén,8112,7,7,7,6,6,7,7,7,7,7,6,6,7,7,7,7,7,6,5,6,5,5,4,4,3,3,4,4,4,3,4,3,3,4,4,4,4,4,3,3,4,3,3,3,2,2,2
Biobío,8,Hualqui,8105,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,1,1,1,2,2,3,2,1,3,3,3,3,3,2,2,1,3,3,3,0,1,1
Biobío,8,Laja,8304,8,8,8,7,6,8,8,8,9,9,7,6,8,8,8,9,10,8,7,9,8,8,7,7,6,5,7,7,7,7,7,6,6,7,8,8,8,8,7,5,7,7,6,7,6,6,6
Biobío,8,Lebu,8201,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0
Biobío,8,Los Alamos,8206,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Biobío,8,Los Angeles,8301,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biobío,8,Lota,8106,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,2,1,2,2,2,2,3,2,2,3,3,2,3,3,2,2,3,3,3,3,1,1,1
Biobío,8,Mulchén,8305,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
