Region,Codigo region,Comuna,Codigo comuna,Poblacion,2020-03-30,2020-04-01,2020-04-03,2020-04-06,2020-04-08,2020-04-10,2020-04-13,Tasa
O’Higgins,6.0,Santa Cruz,6310.0,41096.0,-,0,-,-,-,-,2,4.9
Maule,7.0,Cauquenes,7201.0,44143.0,-,-,-,4,4,4,4,9.1
Maule,7.0,Chanco,7202.0,9331.0,-,-,-,-,-,-,-,0.0
Maule,7.0,Colbun,7402.0,22565.0,-,4,4,5,5,5,5,22.2
Maule,7.0,Constitucion,7102.0,50348.0,-,-,-,-,5,5,5,9.9
Maule,7.0,Curepto,7103.0,9426.0,-,-,-,-,-,-,3,31.8
Maule,7.0,Curico,7301.0,163626.0,6,8,11,13,13,17,20,12.2
Maule,7.0,Empedrado,7104.0,4206.0,-,-,-,-,-,-,-,0.0
Maule,7.0,Hualane,7302.0,10222.0,-,-,-,-,-,-,-,0.0
Maule,7.0,Licanten,7303.0,6989.0,-,-,-,-,-,-,-,0.0
Maule,7.0,Linares,7401.0,101073.0,4,6,10,11,12,13,13,12.9
Maule,7.0,Longavi,7403.0,32810.0,-,-,-,-,-,-,2,6.1
Maule,7.0,Maule,7105.0,60000.0,-,-,-,-,-,-,4,6.7
Maule,7.0,Molina,7304.0,49800.0,-,-,-,-,-,-,3,6.0
Maule,7.0,Parral,7404.0,44544.0,4,-,-,-,4,5,6,13.5
Maule,7.0,Pelarco,7106.0,9083.0,-,-,-,-,-,-,3,33.0
Maule,7.0,Pelluhue,7203.0,8092.0,-,-,-,-,-,-,1,12.4
Maule,7.0,Pencahue,7107.0,8601.0,-,-,-,-,-,-,-,0.0
Maule,7.0,Rauco,7305.0,11248.0,-,-,-,-,-,-,2,17.8
Maule,7.0,Retiro,7405.0,21071.0,-,-,-,-,-,-,1,4.7
Maule,7.0,Rio Claro,7108.0,14753.0,-,-,-,-,-,-,3,20.3
Maule,7.0,Romeral,7306.0,16170.0,-,-,-,-,-,-,3,18.6
Maule,7.0,Sagrada Familia,7307.0,19469.0,-,-,-,-,-,-,1,5.1
Maule,7.0,San Clemente,7109.0,46292.0,-,-,-,-,-,-,-,0.0
Maule,7.0,San Javier,7406.0,49451.0,-,-,-,7,7,8,8,16.2
Maule,7.0,San Rafael,7110.0,9959.0,-,-,-,-,-,-,2,20.1
Maule,7.0,Talca,7101.0,236724.0,34,37,42,48,51,51,51,21.5
Maule,7.0,Teno,7308.0,30850.0,-,-,-,-,-,-,1,3.2
Maule,7.0,Vichuquen,7309.0,4381.0,-,-,-,-,-,-,-,0.0
Maule,7.0,Villa Alegre,7407.0,17512.0,-,-,-,-,-,-,-,0.0
Maule,7.0,Yerbas Buenas,7408.0,19200.0,-,-,-,-,-,-,-,0.0
Ñuble,16.0,Bulnes,16102.0,22607.0,12,18,32,36,45,48,48,212.3
Ñuble,16.0,Chillan,16101.0,198624.0,114,173,240,291,327,342,355,178.7
Ñuble,16.0,Chillan Viejo,16103.0,33827.0,13,22,26,30,34,40,44,130.1
Ñuble,16.0,Cobquecura,16202.0,5275.0,-,-,-,-,-,-,-,0.0
Ñuble,16.0,Coelemu,16203.0,16845.0,-,-,-,-,4,4,4,23.7
Ñuble,16.0,Coihueco,16302.0,28375.0,-,-,-,6,7,8,11,38.8
Ñuble,16.0,El Carmen,16104.0,12334.0,-,-,-,-,-,-,3,24.3
Ñuble,16.0,Ninhue,16204.0,5414.0,-,-,-,-,-,-,2,36.9
Ñuble,16.0,Niquen,16303.0,11567.0,-,-,-,-,-,-,2,17.3
Ñuble,16.0,Pemuco,16105.0,8639.0,-,-,-,-,-,-,4,46.3
Ñuble,16.0,Pinto,16106.0,11880.0,-,-,6,9,10,10,10,84.2
Ñuble,16.0,Portezuelo,16205.0,4940.0,-,-,-,-,-,-,1,20.2
Ñuble,16.0,Quillon,16107.0,18777.0,4,7,15,17,22,22,23,122.5
Ñuble,16.0,Quirihue,16201.0,12192.0,-,-,-,-,4,4,4,32.8
Ñuble,16.0,Ranquil,16206.0,6261.0,-,-,5,7,9,9,10,159.7
Ñuble,16.0,San Carlos,16301.0,56252.0,8,13,13,19,28,29,31,55.1
Ñuble,16.0,San Fabian,16304.0,4654.0,-,5,6,6,6,6,6,128.9
Ñuble,16.0,San Ignacio,16108.0,16624.0,-,-,-,6,6,6,6,36.1
Ñuble,16.0,San Nicolas,16305.0,12172.0,-,-,4,10,11,12,12,98.6
Ñuble,16.0,Treguaco,16207.0,5696.0,-,-,-,-,-,-,-,0.0
Ñuble,16.0,Yungay,16109.0,18596.0,-,7,10,26,37,38,42,225.9
Biobío,8.0,Alto Biobio,8314.0,6775.0,-,-,-,-,-,-,-,0.0
Biobío,8.0,Antuco,8302.0,4306.0,-,-,-,-,-,-,-,0.0
Biobío,8.0,Arauco,8202.0,38679.0,-,5,6,6,6,6,6,15.5
Biobío,8.0,Cabrero,8303.0,30725.0,-,-,-,-,-,4,7,22.8
Biobío,8.0,Canete,8203.0,37003.0,-,-,-,-,-,-,-,0.0
Biobío,8.0,Chiguayante,8103.0,91180.0,6,18,26,32,35,40,41,45.0
